#key	name	year	genre	developer	players
3-D Asteroids (USA) (Demo)	3-D Asteroids				
5200 Menu (USA) (Proto)	ZZZ(notgame):Atari Diagnostics V2.3				
A.E. (USA) (Proto 2) (1984-01-04)	A.E.	1982	Shooter / Vertical/Shooter	Programmers-3	1
Activision Decathlon, The (USA)	The Activision Decathlon	1983	Sports / Multisports/Sports	Activision	1-4
Asteroids (USA) (Proto) (Final)	Asteroids	1983	Shoot'em Up	Atari	4+
Astro Chase (USA)	Astro Chase	1983	Shooter	First Star Software	1
Astrogrover (USA) (Proto)	Astro-Grover	1984	Educational	CTW Software Group	1
Atari PAM - Pete's Test (USA)	ZZZ(notgame):Atari Diagnostics V2.3				
Atari PAM Diagnostics (USA) (v2.3)	ZZZ(notgame):Atari Diagnostics V2.3				
Atari PAM System Test (USA) (v1.02)	ZZZ(notgame):Atari Diagnostics V2.3				
Ballblazer (USA)	Ballblazer	1986	Sports	Lucasfilm Games	1-2
Barroom Baseball (USA) (Proto 2) (1983-11-21)	Barroom Baseball	1983	Sports / Baseball/Sports	Atari	2
Battlezone (USA) (Proto 2)	Battlezone	1983	Shooter / Vehicle, FPV/Shooter	Atari	1
Beamrider (USA)	Beamrider	1983	Shoot'em Up	Activision	1-4
BerZerk (USA)	Berzerk	1983	Shooter	Stern	1-2
Black Belt (USA) (Proto 3)	Black Belt	1983	Fighting	Atari	1
Blaster (USA) (Proto)	Blaster	1984	Shooter	Vid Kidz	1
Blue Print (USA)	Blue Print	1983	Action / Labyrinth/Action	Zilec Games	1-2
Boogie (USA) (Demo)	ZZZ(notgame):Boogie			Atari	1
Bounty Bob Strikes Back! (USA)	Bounty Bob Strikes Back!	1984	Platform	Big Five Software	1-2
Buck Rogers - Planet of Zoom (USA)	Buck Rogers : Planet of Zoom	1983	Shoot'em Up	SEGA	1
Carol Shaw's River Raid (USA)	River Raid	1983	Shoot'em Up / Vertical/Shoot'em Up	Activision	1-2
Centipede (USA)	Centipede	1982	Shooter / Space Invaders Like/Shooter	Atari	1-2
Choplifter! (USA)	Choplifter!	1984	Shoot'em Up / Horizontal/Shoot'em Up	Brøderbund Software	1
Congo Bongo (USA)	Congo Bongo	1983	Platform	SEGA	1-2
Countermeasure (USA)	Countermeasure	1983	Shooter	Atari	1-2
David Crane's Pitfall II - Lost Caverns (USA)	Pitfall II : Lost Caverns	1984	Platform	Activision	1
Defender (USA)	Defender	1982	Shoot'em Up / Horizontal/Shoot'em Up	Atari	1-2
Dig Dug (USA)	Dig Dug	1983	Action / Labyrinth/Action	Namco	1-2
Dreadnaught Factor, The (USA)	The Dreadnaught Factor	1983	Shooter	Cheshire Engineering	1
Final Legacy (USA) (Proto)	Final Legacy	1984	Simulation	Atari	1
Frisky Tom (USA) (Proto) (1983-07-04)	Frisky Tom	1982		Atari	1
Frogger (USA)	Frogger	1983	Platform	Parker Brothers	1-2
Frogger II - Threeedeep! (USA)	Frogger II : Threeedeep!	1984	Platform	Parker Brothers	1
Galaxian (USA)	Galaxian	1982	Shooter / Space Invaders Like/Shooter	Atari	1-2
Gorf (USA)	Gorf	1983	Shooter / Space Invaders Like/Shooter	Bally Midway	1-2
Gremlins (USA)	Gremlins	1986		Atari	1-2
Gyruss (USA)	Gyruss	1984	Shoot'em Up/Shooter / Run and Gun/Shooter	Konami	1-2
H.E.R.O. (USA)	H.E.R.O. - Helicopter Emergency Rescue Operation	1984	Adventure	Activision	1
James Bond 007 (USA)	James Bond 007	1983	Shoot'em Up / Horizontal/Shoot'em Up	Parker Brothers	1-2
Joust (USA)	Joust	1983	Platform / Run & Jump/Platform	Williams	1-2
Jr. Pac-Man (USA) (Proto)	Jr. Pac-Man	1984	Action / Labyrinth/Action	General Computer Corporation	1-2
Jungle Hunt (USA)	Jungle Hunt	1983	Platform / Run & Jump Scrolling/Platform	Atari	1-2
K-Razy Shoot-Out (USA)	K-Razy Shootout	1983	Shoot'em Up	K-Byte	1
Kaboom! (USA)	KABOOM!	1983		Activision	1-2
Kangaroo (USA)	Kangaroo	1983	Platform	Sunsoft	1-2
Keystone Kapers (USA)	Keystone Kapers	1984	Platform	Activision	1
Last Starfighter, The (USA) (Proto) (1984-05-21)	The Last Starfighter	1984	Shooter/Simulation	Atari	1
Looney Tunes Hotel (USA) (Proto)	Looney Tunes Hotel	1983	Platform	Atari	1
Mario Bros. (USA)	Mario Bros.	1983	Platform	Nintendo	1-2
