#name	crc	size	key
A.E. (USA) (Proto 1)	35484751	16384	A.E. (USA) (Proto 2) (1984-01-04)
A.E. (USA) (Proto 2) (1984-01-04)	710bfe06	32768	A.E. (USA) (Proto 2) (1984-01-04)
Activision Decathlon, The (USA)	f43e7cd0	16384	Activision Decathlon, The (USA)
Asteroids (USA) (Proto) (1982-08-12)	8d2aaab5	16384	Asteroids (USA) (Proto) (Final)
Asteroids (USA) (Proto) (Final)	1d544455	8192	Asteroids (USA) (Proto) (Final)
Astro Chase (USA)	4019ecec	16384	Astro Chase (USA)
Astrogrover (USA) (Proto)	18417ada	32768	Astrogrover (USA) (Proto)
Ballblazer (USA)	def2a207	32768	Ballblazer (USA)
Ballblazer (USA) (Beta) (1984-01-20)	bb705dc9	32768	Ballblazer (USA)
Barroom Baseball (USA) (Proto 1)	21d19c8f	32768	Barroom Baseball (USA) (Proto 2) (1983-11-21)
Barroom Baseball (USA) (Proto 2) (1983-11-21)	d18fa8c8	32768	Barroom Baseball (USA) (Proto 2) (1983-11-21)
Battlezone (USA) (Proto 2)	7d32a6ca	32768	Battlezone (USA) (Proto 2)
Beamrider (USA)	9bae58dc	16384	Beamrider (USA)
Behind Jaggi Lines! (USA) (Beta) (1984-01-18)	9dd7776a	32768	Rescue on Fractalus! (USA)
BerZerk (USA)	be3cd348	16384	BerZerk (USA)
BerZerk (USA) (Beta 1) (1983-06-01)	8550a9e9	16384	BerZerk (USA)
BerZerk (USA) (Beta 2) (1983-07-31)	efa00f88	16384	BerZerk (USA)
BerZerk (USA) (Beta 3) (1983-08-03)	659fc323	32768	BerZerk (USA)
BerZerk (USA) (Beta 4) (1983-08-xx)	63fa1ef9	16384	BerZerk (USA)
Black Belt (USA) (Proto 1)	40657c26	16384	Black Belt (USA) (Proto 3)
Black Belt (USA) (Proto 2)	c1899b05	32768	Black Belt (USA) (Proto 3)
Black Belt (USA) (Proto 3)	ed47b0d8	32768	Black Belt (USA) (Proto 3)
Blaster (USA) (Proto)	c8f9c094	16384	Blaster (USA) (Proto)
Blue Print (USA)	0624e6e7	16384	Blue Print (USA)
Boogie (USA) (Demo)	3bd5fdd6	4096	Boogie (USA) (Demo)
Bounty Bob Strikes Back! (USA)	7873c6dd	40960	Bounty Bob Strikes Back! (USA)
Buck Rogers - Planet of Zoom (USA)	04807705	16384	Buck Rogers - Planet of Zoom (USA)
Buck Rogers - Planet of Zoom (USA) (Alt)	20df4927	16384	Buck Rogers - Planet of Zoom (USA)
Carol Shaw's River Raid (USA)	09fc7648	8192	Carol Shaw's River Raid (USA)
Centipede (USA)	536a70fe	16384	Centipede (USA)
Choplifter! (USA)	9ad53bbc	16384	Choplifter! (USA)
Choplifter! (USA) (Beta 1) (1984-01-04)	200578dd	16384	Choplifter! (USA)
Choplifter! (USA) (Beta 2) (1984-01-13)	bee87e6f	16384	Choplifter! (USA)
Choplifter! (USA) (Beta 3)	9209ca2b	16384	Choplifter! (USA)
Congo Bongo (USA)	f1f42bbd	16384	Congo Bongo (USA)
Countermeasure (USA)	fd541c80	16384	Countermeasure (USA)
David Crane's Pitfall II - Lost Caverns (USA)	4b910461	16384	David Crane's Pitfall II - Lost Caverns (USA)
Defender (USA)	bd52623b	16384	Defender (USA)
Dig Dug (USA)	6a687f9c	16384	Dig Dug (USA)
Dig Dug (USA) (Beta) (1983-04-07)	573f8fd1	32768	Dig Dug (USA)
Dig Dug (USA) (Beta) (1983-06-20)	63e81003	32768	Dig Dug (USA)
Dreadnaught Factor, The (USA)	460def2d	8192	Dreadnaught Factor, The (USA)
Final Legacy (USA) (Proto)	d3bd3221	16384	Final Legacy (USA) (Proto)
Frisky Tom (USA) (Proto) (1983-01-20)	23c21720	8192	Frisky Tom (USA) (Proto) (1983-07-04)
Frisky Tom (USA) (Proto) (1983-07-04)	04b299a4	16384	Frisky Tom (USA) (Proto) (1983-07-04)
Frogger (USA)	ae7e3444	8192	Frogger (USA)
Frogger II - Threeedeep! (USA)	0af19345	16384	Frogger II - Threeedeep! (USA)
Frogger II - Threeedeep! (USA) (Beta)	e924f2bc	8192	Frogger II - Threeedeep! (USA)
Galaxian (USA)	3ef4a23f	8192	Galaxian (USA)
Galaxian (USA) (Alt)	3a6e6133	8192	Galaxian (USA)
Gorf (USA)	e955db74	8192	Gorf (USA)
Gremlins (USA)	063ec2c4	32768	Gremlins (USA)
Gremlins (USA) (Beta) (1984-04-13)	d3436c20	32768	Gremlins (USA)
Gremlins (USA) (Beta) (1984-04-20)	b2ca299d	32768	Gremlins (USA)
Gremlins (USA) (Beta) (1984-05-15)	a33fe6e1	32768	Gremlins (USA)
Gyruss (USA)	cfd4a7f9	16384	Gyruss (USA)
Gyruss (USA) (Beta) (1984-04-23)	97c69f4b	32768	Gyruss (USA)
Gyruss (USA) (Rev 1)	4241582d	16384	Gyruss (USA)
H.E.R.O. (USA)	18a73af3	16384	H.E.R.O. (USA)
James Bond 007 (USA)	d9ae4518	16384	James Bond 007 (USA)
James Bond 007 (USA) (Beta)	22abbbc7	16384	James Bond 007 (USA)
Joust (USA)	bfd30c01	16384	Joust (USA)
Joust (USA) (Beta) (1983-06-12)	408d29de	16384	Joust (USA)
Jr. Pac-Man (USA) (Proto)	59983c40	16384	Jr. Pac-Man (USA) (Proto)
Jungle Hunt (USA)	2c676662	16384	Jungle Hunt (USA)
Jungle Hunt (USA) (Beta) (1983-04-07)	cc0ec2d4	16384	Jungle Hunt (USA)
Jungle Hunt (USA) (Beta) (1983-05-02)	f270252c	32768	Jungle Hunt (USA)
K-Razy Shoot-Out (USA)	ee702214	8192	K-Razy Shoot-Out (USA)
Kaboom! (USA)	420f5d0b	4096	Kaboom! (USA)
Kangaroo (USA)	ecfa624f	16384	Kangaroo (USA)
Keystone Kapers (USA)	8fe3bb2c	8192	Keystone Kapers (USA)
Last Starfighter, The (USA) (Proto) (1984-05-08)	037157f9	16384	Last Starfighter, The (USA) (Proto) (1984-05-21)
Last Starfighter, The (USA) (Proto) (1984-05-21)	83517703	16384	Last Starfighter, The (USA) (Proto) (1984-05-21)
Looney Tunes Hotel (USA) (Proto)	84df4925	16384	Looney Tunes Hotel (USA) (Proto)
Mario Bros. (USA)	873742f1	32768	Mario Bros. (USA)
Mario Bros. (USA) (Alt)	6b3f1179	32768	Mario Bros. (USA)
Mario Bros. (USA) (Beta 1)	6cc083b1	16384	Mario Bros. (USA)
Mario Bros. (USA) (Beta 2) (1983-09-14)	7ed87e8d	32768	Mario Bros. (USA)
Meebzork (USA) (Proto) (1983-05-03)	abc1d1ff	16384	Meebzork (USA) (Proto) (1983-11-16)
Meebzork (USA) (Proto) (1983-05-18)	bbb3c9f2	16384	Meebzork (USA) (Proto) (1983-11-16)
Meebzork (USA) (Proto) (1983-11-16)	1aa94fec	32768	Meebzork (USA) (Proto) (1983-11-16)
MegaMania (USA)	240a1e1a	8192	MegaMania (USA)
Meteorites (USA)	ab8e035b	16384	Meteorites (USA)
Microgammon SB (USA) (Proto) (1983-07-16)	8a5ad939	8192	Microgammon SB (USA) (Proto) (1983-08-15)
Microgammon SB (USA) (Proto) (1983-08-15)	38a8afa9	16384	Microgammon SB (USA) (Proto) (1983-08-15)
Millipede (USA) (Proto) (1984-01-04)	eddb9265	16384	Millipede (USA) (Proto) (1984-01-31)
Millipede (USA) (Proto) (1984-01-05)	da7685e6	16384	Millipede (USA) (Proto) (1984-01-31)
Millipede (USA) (Proto) (1984-01-31)	969cfe1a	16384	Millipede (USA) (Proto) (1984-01-31)
Miner 2049er Starring Bounty Bob (USA)	7df1adfb	16384	Miner 2049er Starring Bounty Bob (USA)
Miniature Golf (USA) (Proto)	c597c087	16384	Miniature Golf (USA) (Proto)
Missile Command (Europe) (Proto) (1982-04-04)	957a4205	8192	Missile Command (USA)
Missile Command (USA)	44d3ff6f	8192	Missile Command (USA)
Montezuma's Revenge - Featuring Panama Joe (USA)	2a640143	16384	Montezuma's Revenge - Featuring Panama Joe (USA)
Moon Patrol (USA)	d0b2f285	16384	Moon Patrol (USA)
Moon Patrol (USA) (Beta 1) (1983-09-14)	665289e4	16384	Moon Patrol (USA)
Moon Patrol (USA) (Beta 2) (1983-09-19)	f6aaff07	16384	Moon Patrol (USA)
Moon Patrol (USA) (Beta 3)	906cc57b	32768	Moon Patrol (USA)
Moon Patrol (USA) (Beta 4)	28a0bef6	32768	Moon Patrol (USA)
Mountain King (USA)	0f24243c	8192	Mountain King (USA)
Mr. Do!'s Castle (USA)	aa55f9be	8192	Mr. Do!'s Castle (USA)
Ms. Pac-Man (USA)	752f5efd	16384	Ms. Pac-Man (USA)
Pac-Man (USA)	8873ef51	16384	Pac-Man (USA)
Pengo (USA)	e4f8ba8c	32768	Pengo (USA)
Pengo (USA) (Beta) (1983-07-27)	f085ea1f	32768	Pengo (USA)
Pengo (USA) (Beta) (1983-08-10)	d0704419	32768	Pengo (USA)
Pitfall! (USA)	b2887833	8192	Pitfall! (USA)
Pole Position (USA)	abc2d1e4	16384	Pole Position (USA)
Pole Position (USA) (Beta)	15b7b5ef	32768	Pole Position (USA)
Popeye (USA)	a18a9a40	16384	Popeye (USA)
Q-bert (USA)	3fe4a401	8192	Q-bert (USA)
QIX (USA)	aea6d2c2	16384	QIX (USA)
Quest for Quintana Roo (USA)	b5f3402b	16384	Quest for Quintana Roo (USA)
RealSports Baseball (USA)	44166592	32768	RealSports Baseball (USA)
RealSports Baseball (USA) (Beta) (1983-02-04)	dd7ffcc2	32768	RealSports Baseball (USA)
RealSports Baseball (USA) (Beta) (1983-02-11)	ec08160d	32768	RealSports Baseball (USA)
