#key	synopsis
A.E. (USA) (Proto 2) (1984-01-04)	Un port del classico gioco per computer, AE (che sta per Anti Environmental) è un prototipo 5200 molto insolito. Non è mai stato annunciato da Atari né è stato menzionato in alcun documento interno. AE è un gioco sparatutto in stile arcade in cui devi abbattere ondate di razze meccaniche volanti malvagie per salvare il tuo pianeta. La versione Atari 5200 ha solo quattro livelli rispetto ai dieci che vantano le versioni per computer. Anche i tempi di caricamento dei livelli sono più lunghi a causa dei vincoli hardware dell'Atari 5200.
Activision Decathlon, The (USA)	Come suggerisce il nome, giochi come decatleta durante i suoi 10 eventi (100 metri, salto in lungo, lancio del peso, salto in alto, 400 metri, 110 metri ostacoli, lancio del disco, salto con l'asta, lancio del giavellotto e 1500 metri). Il gioco è un port del titolo Atari 2600. È giocabile fino a quattro giocatori. il gameplay è un classico dell'epoca: scuoti il ​​joystick da destra a sinistra per aumentare la velocità e il pulsante di fuoco per saltare o lanciare.
Asteroids (USA) (Proto) (Final)	Intrappolata nello spazio da qualche parte tra i pianeti Ortanus e la Terra, la tua nave viene improvvisamente circondata da un campo di enormi asteroidi. E, come se non fosse abbastanza eccitazione per un giorno, un gruppo di dischi alieni organizza un attacco a sorpresa. Prendi rapidamente il controllo per salvare la tua nave da un destino imminente. Devi allontanarti dal percorso degli asteroidi in arrivo. Metti degli scudi per proteggere la nave. Iperspazio nel nulla. Capovolgi e fai attaccare gli asteroidi da dietro. È tutto nelle tue mani ora. Buona fortuna!
Astro Chase (USA)	Nei panni di un pilota di un'astronave, il tuo compito è salvare il pianeta Terra! Otto mega mine stanno lentamente arrivando e devi distruggerle tutte prima che raggiungano la Terra. A cercare di fermarti ci sono una varietà di dischi volanti che ti inseguiranno costantemente per il pianeta. La tua nave è dotata di laser che possono essere usati per distruggere i piattini nemici e le mega mine. In tutto lo spazio intorno alla Terra ci sono otto depositi di scudi; se voli attraverso uno di questi, diventerai temporaneamente invincibile. La tua astronave ha anche una scorta di energia limitata; se si esaurisce l'energia, è possibile rifornirla presso uno dei generatori situati ai quattro angoli dell'area di gioco. Quando tutte le mega mine saranno state distrutte, passerai all'inseguimento successivo, più veloce!
Astrogrover (USA) (Proto)	Astro-Grover è un gioco educativo per un giocatore basato sul franchise di Sesame Street. Fornisce un ambiente giocoso in cui i bambini si esercitano a contare, aggiungere e sottrarre. Il gioco aiuta i bambini a lavorare con i numeri in cinque modi diversi (Quanti zip?, Beam That Number, Adding Countdown, Take it Away Zips!, Sum Up Sum Down) - assistito da Grover e dagli Zip del pianeta Zap.
Ballblazer (USA)	Nell'anno 3037, lo sport più competitivo nell'universo conosciuto è Ballblazer. Per la prima volta in assoluto, gli umani del pianeta Terra hanno vinto il diritto di competere nel round finale del campionato Ballblazer, per combattere per l'onore della Terra e il titolo di Masterblazer! Ballblazer è un gioco futuristico in 3D simile al calcio, in cui il giocatore (all'interno di un Rotofoil) è ambientato su un campo da gioco uno contro uno di 1.155 quadrati (la Griglia). L'obiettivo del giocatore è quello di calciare una palla fluttuante (Plasmorb) all'interno della porta avversaria (Goalbeams). Un giocatore può competere contro un avversario umano o informatico.
Barroom Baseball (USA) (Proto 2) (1983-11-21)	Barroom Baseball era un prototipo di gioco codificato da Atari nel 1983 per essere utilizzato all'interno di macchine arcade Atari 5200, ma non è mai stato rilasciato. Il gioco stesso è essenzialmente RealSports Baseball modificato per rimuovere alcune delle opzioni di gioco. Doveva anche essere un gioco a tempo, che richiedeva monete o gettoni aggiuntivi per continuare con il gioco. Come con RealSports Baseball, Barroom Baseball include rubate, nove diversi tipi di campo, giochi mordi e fuggi, discorso sintetizzato, un tabellone segnapunti dettagliato, tag-up, percorsi di base color sporco, la possibilità di controllare la velocità dei lanci e oscillazioni di il pipistrello e altri simili campane, fischietti e necessità
Battlezone (USA) (Proto 2)	Una conversione del gioco arcade Battlezone per Atari 5200. Come nel gioco arcade, guidi un carro armato e spari ai carri armati nemici mentre cerchi di evitare il loro fuoco in un ambiente 3D. Sfortunatamente non è mai stato rilasciato ed esiste solo in forma di prototipo. Il prototipo sembra quasi finito ma il rilevamento dei colpi a volte sembra spento e non perfezionato. Sostituisce anche parte della grafica vettoriale della sala giochi con raster probabilmente a causa delle limitazioni dell'Atari 5200. Puoi anche giocarci con due joystick che si dice aiutino a controllare il gioco rispetto al singolo se ti ci abitui.
Beamrider (USA)	Beamrider è un gioco d'azione arcade 3D. Controlli un'astronave a bordo di un raggio in missione per ripulire 99 settori di spazio da alieni ostili. L'astronave si trova nella parte inferiore dello schermo e può fermarsi solo su uno dei cinque raggi. Sei armato sia di laser che di siluri; i siluri sono più potenti e possono distruggere più nemici rispetto ai laser, tuttavia ne ottieni solo tre per livello. Per completare un settore, devi distruggere quindici dischi volanti bianchi. Dopo che tutti i piattini sono stati distrutti, passa la sentinella del settore che può essere distrutta per punti extra. Ogni settore di numero pari fino al settore 16 aggiungerà un nuovo tipo di nemico da affrontare.
BerZerk (USA)	Sei stato mandato in un edificio infestato da robot e devi fare del tuo meglio per ripulirlo. Ogni stanza ha una serie di pareti nel mezzo, che limitano i tuoi movimenti. Ci saranno un certo numero di cattivi nella stanza: nelle prime schermate potrebbero essere immobili e non spararti, ma dopo alcuni livelli diventano in grado di sparare in più direzioni.
Black Belt (USA) (Proto 3)	Questo gioco inedito e incompiuto è simile al famoso gioco di Broderbund, Karateka. Seleziona il tuo livello di cintura nera (livello di difficoltà) e fatti strada attraverso otto stanze. La tastiera viene utilizzata per eseguire una varietà di mosse di karate, anche se il gioco non ha il rilevamento delle collisioni, quindi non puoi davvero combattere i tuoi nemici. Anche se il gioco sembra promettente, non puoi andare oltre le otto stanze perché non puoi sconfiggere i tuoi nemici.
Blaster (USA) (Proto)	Questo gioco inedito e incompiuto è simile al famoso gioco di Broderbund, Karateka. Seleziona il tuo livello di cintura nera (livello di difficoltà) e fatti strada attraverso otto stanze. La tastiera viene utilizzata per eseguire una varietà di mosse di karate, anche se il gioco non ha il rilevamento delle collisioni, quindi non puoi davvero combattere i tuoi nemici. Anche se il gioco sembra promettente, non puoi andare oltre le otto stanze perché non puoi sconfiggere i tuoi nemici.
Blue Print (USA)	La tua ragazza Daisy è nei guai! Ollie Org la sta inseguendo attraverso la parte superiore dello schermo e devi venire in soccorso. Per fermare Ollie prima che scada il tempo, devi costruire una macchina. La stampa blu per la macchina si trova nella parte inferiore dello schermo, quindi tutto ciò che devi fare è individuare le parti nascoste nelle numerose case in una città labirintica. Quando trovi una parte, trascinala indietro e posizionala sulla stampa blu. Quando tutte le parti sono state individuate, premere il pulsante di avvio e la macchina è pronta per l'uso! Per rendere il tuo compito più difficile, ci sono diversi ostacoli che si frappongono. Se entri in una casa che non contiene una parte, rimarrai invece bloccato con una bomba. Dovrai sbrigarti e disperdere le bombe nella fossa delle bombe prima che esplodano! Di tanto in tanto, un vaso di fiori cadrà dall'alto e poi salterà fuori dallo schermo.
Boogie (USA) (Demo)	Boogie era una demo codificata da Atari per uso interno come dimostrazione delle capacità audio dell'Atari 5200. La cartuccia riproduce un piccolo boogie impressionante, quindi si ripete. Non ci sono giochi o grafica qui, solo la schermata del titolo e la colonna sonora
Bounty Bob Strikes Back! (USA)	Bounty Bob colpisce ancora! è il sequel di Miner 2049er e presenta un gameplay simile. Nei panni di Bounty Bob, il tuo obiettivo è rivendicare ogni centimetro di 25 miniere impegnative. Per fare ciò, devi camminare su ogni segmento della struttura nelle miniere. Per raggiungere ogni segmento della struttura, dovrai trovare un modo per saltare, arrampicarti o utilizzare uno dei tanti dispositivi occasionalmente disponibili per arrivarci. Per aiutarti a spostarti (o talvolta ostacolare il progresso) ci sono scale, scivoli, tubi di aspirazione, cannoni, trasportatori e altri dispositivi. Vagando per le miniere ci sono molti pericolosi mutanti.
