#key	synopsis
A.E. (USA) (Proto 2) (1984-01-04)	Uma versão do clássico jogo de computador A.E. (que significa Anti Ambiental) é um protótipo 5200 muito incomum. Nunca foi anunciado pela Atari ou mencionado em qualquer documento interno. A.E. é um jogo de tiro estilo arcade onde você tem que derrubar ondas de raios mecânicos voadores malignos para salvar seu planeta. A versão Atari 5200 tem apenas quatro níveis, em comparação com dez das versões para computador. Os tempos de carregamento de nível também são mais longos devido às restrições de hardware do Atari 5200.
Activision Decathlon, The (USA)	Até quatro jogadores competem nos dez eventos diferentes de um decatlo da vida real, em seqüência ou individualmente. Os eventos são - Traço de 100 medidores Salto Longo Arremesso de peso Salto em distância Corrida de 400 Metros Obstáculos de 110 metros Arremesso de disco Salto à vara Lançamento do dardo Corrida de 1500 Metros
Asteroids (USA) (Proto) (Final)	Presa no espaço em algum lugar entre os planetas Ortanus e a Terra, sua nave é repentinamente cercada por um campo de enormes asteróides. E, como se isso não bastasse, um grupo de discos alienígenas o ataca de surpresa. Rapidamente, você assume o controle para salvar sua nave da destruição iminente. Você deve se afastar do caminho dos asteróides que chegam. Configure escudos para proteger sua nave. No hiperespaço, vire-se e faça com que os asteróides ataquem por trás. Tudo está em suas mãos agora. Boa sorte !
Astro Chase (USA)	Como piloto de uma nave espacial, seu trabalho é salvar o planeta Terra! Oito mega-minas estão lentamente chegando e você precisa destruí-las todas antes que cheguem à Terra. Tentando pará-lo está uma variedade de discos voadores que estarão constantemente perseguindo você ao redor do planeta. Sua nave está equipada com lasers que podem ser usados ​​para destruir discos inimigos e mega-minas. Localizados em todo o espaço ao redor da Terra, estão oito depósitos de escudos; se você voar por um deles, ficará temporariamente invencível. Sua nave espacial também tem um suprimento de energia limitado; se você ficar com pouca energia, ela pode ser reabastecida em um dos geradores localizados nos quatro cantos da área de jogo. Quando todas as mega-minas forem destruídas, você passará para a próxima perseguição mais rápida!
Ballblazer (USA)	No ano 3037, o desporto mais competitivo do universo conhecido é o Ballblazer. O Ballblazer é um jogo de futebol 3D futurista, no qual o jogador (dentro de um Rotofoil) é colocado num campo de jogo individual de 1155 quadrados (a grelha) apresentado numa perspectiva de primeira pessoa. O objectivo do jogador é lançar uma bola flutuante (Plasmorb) para a baliza do adversário (Goalbeams). Um jogador pode competir com um adversário humano ou com o computador. O jogo pode ser jogado contra o computador ou contra outro humano.
Barroom Baseball (USA) (Proto 2) (1983-11-21)	Barroom Baseball é um jogo inédito, desenvolvido pela Atari em 1983 para a versão &quot;arcade&quot; do Atari 5200 nunca lançada (daí o Bar room). É uma versão modificada e simplificada do RealSports Baseball. Este era um jogo por tempo limitado que exigia o uso de moedas ou fichas para continuar o jogo.
Battlezone (USA) (Proto 2)	Uma versão do jogo de arcade Battlezone para Atari 5200. Como no jogo de arcade, você pilota um tanque e atira em tanques inimigos enquanto tenta se esquivar de seus tiros em um ambiente 3D. Infelizmente, ele nunca foi lançado e existe apenas como um protótipo. O protótipo parece praticamente concluído, mas a detecção de colisão às vezes parece desativada e não otimizada. Ele também substitui alguns dos gráficos vetoriais de arcade por bitmaps, possivelmente devido às limitações do Atari 5200. Você também pode jogar este jogo com dois joysticks, que supostamente ajudam a controlar o jogo em vez de apenas um, se você se acostumar para isso.
Beamrider (USA)	Beamrider é um jogo de tiro 3D. Você está no comando de uma nave espacial encarregada de defender a Terra. Armado com lasers e torpedos, em um número limitado de três por nível, você move mais de 99 setores (níveis) através de uma grade que representa o escudo que deveria proteger a Terra. Sua nave se move na linha horizontal na parte inferior da tela e você pode atirar, assim como os inimigos, em cada uma das cinco linhas verticais. Depois de matar os cinquenta inimigos que compõem cada nível, você acessa o próximo, cuja dificuldade aumenta com novos tipos de inimigos a cada 16 setores. O jogo é uma versão do original lançado na Intellivision.
BerZerk (USA)	Você foi enviado para um prédio infestado de robôs e deve fazer o possível para limpá-lo. Cada sala tem várias paredes no meio, o que limita seus movimentos. Haverá vários inimigos na sala. Nas primeiras telas, eles podem estar parados e não atirar, mas depois de alguns níveis eles se tornam capazes de atirar em várias direções. Você pode atirar em 8 direções, mas não pode atirar na diagonal quando se move. Existem aberturas nas laterais de cada quarto, por onde você pode sair, antes ou depois de limpar o quarto (há um bônus para a limpeza). Você ganha uma vida extra para cada 2.000 pontos.
Black Belt (USA) (Proto 3)	Este jogo infelizmente está inacabado e inédito, poderia ter sido a referência antes de Karateka. Você deve selecionar seu nível de dificuldade e avançar lutando contra seus oponentes por meio de oito peças. Cada uma das nove teclas do teclado do controlador é usada para realizar um movimento de caratê. Como as colisões não são programadas, você não pode atingir seus oponentes e, portanto, progredir no jogo.
