#key	style	ss_system_id
Ace of Aces (USA)	mixrbv2	41
Alien Brigade (USA)	mixrbv2	41
Asteroids (USA)	mixrbv2	41
Ballblazer (USA)	mixrbv2	41
Barnyard Blaster (USA)	mixrbv2	41
Basketbrawl (USA)	mixrbv2	41
Centipede (USA)	mixrbv2	41
Choplifter! (USA)	mixrbv2	41
Commando (USA)	mixrbv2	41
Crack'ed (USA)	mixrbv2	41
Crossbow (USA)	mixrbv2	41
Dark Chambers (USA)	mixrbv2	41
Desert Falcon (USA)	mixrbv2	41
Dig Dug (USA)	mixrbv2	41
Donkey Kong (USA)	mixrbv2	41
Donkey Kong Junior (USA)	mixrbv2	41
Double Dragon (USA)	mixrbv2	41
F-18 Hornet (USA)	mixrbv2	41
Fatal Run (USA)	mixrbv2	41
Fight Night (USA)	mixrbv2	41
Food Fight (USA)	mixrbv2	41
GATO (USA) (Proto)	mixrbv2	41
Galaga (USA)	mixrbv2	41
Hat Trick (USA)	mixrbv2	41
Ikari Warriors (USA)	mixrbv2	41
Impossible Mission (USA)	mixrbv2	41
Jinks (USA)	mixrbv2	41
Joust (USA)	mixrbv2	41
Karateka (USA)	mixrbv2	41
Klax (USA) (Proto)	mixrbv2	41
Kung-Fu Master (USA)	mixrbv2	41
Mario Bros. (USA)	mixrbv2	41
Mat Mania Challenge (USA)	mixrbv2	41
Mean 18 Ultimate Golf (USA)	mixrbv2	41
Meltdown (USA)	mixrbv2	41
Midnight Mutants (USA)	mixrbv2	41
Missing in Action (USA) (Proto)	mixrbv2	41
Motor Psycho (USA)	mixrbv2	41
Ms. Pac-Man (USA)	mixrbv2	41
Ninja Golf (USA)	mixrbv2	41
One-on-One Basketball (USA)	mixrbv2	41
Pete Rose Baseball (USA)	mixrbv2	41
Pit Fighter (USA) (Proto)	mixrbv2	41
Planet Smashers (USA)	mixrbv2	41
Plutos (USA) (Proto)	mixrbv2	41
Pole Position II (USA)	mixrbv2	41
Rampage (USA)	mixrbv2	41
Rampart (USA) (Proto)	mixrbv2	41
RealSports Baseball (USA)	mixrbv2	41
Rescue on Fractalus (USA) (Proto)	mixrbv2	41
Robotron - 2084 (USA)	mixrbv2	41
Scrapyard Dog (USA)	mixrbv2	41
Sentinel (Europe)	mixrbv2	41
Sirius (USA) (Proto)	mixrbv2	41
Summer Games (USA)	mixrbv2	41
Super Huey UH-IX (USA)	mixrbv2	41
Super Skateboardin' (USA)	mixrbv2	41
Tank Command (USA)	mixrbv2	41
Title Match Pro Wrestling (USA)	mixrbv2	41
Tomcat - The F-14 Fighter Simulator (USA)	mixrbv2	41
Touchdown Football (USA)	mixrbv2	41
Tower Toppler (USA)	mixrbv2	41
Water Ski (USA)	mixrbv2	41
Winter Games (USA)	mixrbv2	41
Xenophobe (USA)	mixrbv2	41
Xevious (USA)	mixrbv2	41
