#key	name	year	genre	developer	players
3-D Genesis (USA) (Proto)	3-D Genesis	1983		Dan McElroy	
3-D Ghost Attack (USA) (Proto)	3d Ghost Attack	1983	Shooter		
3-D Havoc (USA) (Proto)	3d Havoc	1983			1
3-D Tic-Tac-Toe (USA)	3-D Tic-Tac-Toe	1980	Strategy	Sears	1-2
3-D Zapper (USA) (Proto) (1982-12-15)	3d Zapper	1982	Shooter / FPV/Shooter	Todd Marshall	1
32 in 1 Game Cartridge (Europe, Australia)	32 in 1 Game Cartridge	1988	Compilation	Activision	1-3
Acid Drop (Europe)	Acid Drop	1992	Puzzle / Fall/Puzzle/Strategy	Salu	1
Actionauts (USA) (Proto) (1984-06-22)	Actionauts	1984	Simulation	Rob Fulop	1
Activision Decathlon, The (USA)	The Activision Decathlon	1983	Sports / Multisports/Sports	Activision	1-4
Adventure (USA)	Adventure	1980	Adventure	Atari	1
Adventures of TRON (USA)	Adventures of TRON	1982	Platform	APh Technological Consulting	1
Adventures on GX-12 (Europe)	Adventures of TRON	1982	Platform	APh Technological Consulting	1
Air Raid (USA)	Air Raid	1984	Shoot'em Up / Vertical/Shoot'em Up	Men-A-Vision	1
Air Raiders (USA)	Air Raiders	1983	Shooter / Vehicle, FPV/Shooter	Telegames	1
Air-Sea Battle ~ Target Fun (Japan, USA) (En) (Atari Anthology)	Air-Sea Battle	1988	Shoot'em Up	Atari	1-2
Air-Sea Battle ~ Target Fun (Japan, USA) (En)	Air-Sea Battle	1988	Shoot'em Up	Atari	1-2
Airlock (USA)	Airlock	1982	Platform	Data Age	1-2
Alien (USA)	Alien	1982	Action / Labyrinth/Action	Fox Video Games	1
Alien's Return (Europe)	Go Go Home	1983		Gem Software	1
Alligator People (USA) (Proto)	The Alligator People	1983		Sunmark	1
Alpha Beam with Ernie (Japan, USA) (En)	Alpha Beam with Ernie	1983	Educational	Children's Computer Workshop	1-2
Amidar (USA)	Amidar	1983	Action / Labyrinth/Action	Konami	1
