#name	crc	size	key
3-D Genesis (USA) (Proto)	931a0bdc	8192	3-D Genesis (USA) (Proto)
3-D Ghost Attack (USA) (Proto)	11396d94	16384	3-D Ghost Attack (USA) (Proto)
3-D Havoc (USA) (Proto)	f75ddad1	8192	3-D Havoc (USA) (Proto)
3-D Tic-Tac-Toe (Europe)	7322ebc6	2048	3-D Tic-Tac-Toe (USA)
3-D Tic-Tac-Toe (USA)	58805709	2048	3-D Tic-Tac-Toe (USA)
3-D Zapper (USA) (Proto) (1982-12-15)	93c49a58	4096	3-D Zapper (USA) (Proto) (1982-12-15)
3-D Zapper (USA) (Proto) (Earlier)	4f405595	4096	3-D Zapper (USA) (Proto) (1982-12-15)
32 in 1 Game Cartridge (Europe, Australia)	eaef28ea	65536	32 in 1 Game Cartridge (Europe, Australia)
4 Game in One (Europe) (Bit Corporation)	23a8d1af	4096	Open Sesame (Europe) (Goliath)
Acid Drop (Europe)	14cddac7	16384	Acid Drop (Europe)
Action Man - Action Force (Europe)	896446cf	4096	G.I. Joe - Cobra Strike (USA)
Actionauts (USA) (Proto) (1984-06-22)	ceddf26b	4096	Actionauts (USA) (Proto) (1984-06-22)
Activision Decathlon, The (Europe)	2452adab	8192	Activision Decathlon, The (USA)
Activision Decathlon, The (France)	716d9d1d	8192	Activision Decathlon, The (USA)
Activision Decathlon, The (USA)	3feb39b1	8192	Activision Decathlon, The (USA)
Adventure (Europe)	18dc23f9	4096	Adventure (USA)
Adventure (USA)	a6db4b3a	4096	Adventure (USA)
Adventures of TRON (USA)	1b8019d6	4096	Adventures of TRON (USA)
Adventures on GX-12 (Europe)	4264eb6a	4096	Adventures on GX-12 (Europe)
Air Raid (USA)	b0e53814	4096	Air Raid (USA)
Air Raiders (Europe)	42395399	4096	Air Raiders (USA)
Air Raiders (USA)	bb16539d	4096	Air Raiders (USA)
Air-Sea Battle (Europe)	cf7f8944	2048	Air-Sea Battle ~ Target Fun (Japan, USA) (En)
Air-Sea Battle ~ Target Fun (Japan, USA) (En)	1fc6c0f1	2048	Air-Sea Battle ~ Target Fun (Japan, USA) (En)
Air-Sea Battle ~ Target Fun (Japan, USA) (En) (Atari Anthology)	2a2a9f81	2048	Air-Sea Battle ~ Target Fun (Japan, USA) (En)
Airlock (Europe)	a2d4390b	4096	Airlock (USA)
Airlock (USA)	25c90ce7	4096	Airlock (USA)
Airlock (USA) (Proto)	b6ae31c6	4096	Airlock (USA)
Alien (USA)	6d61059f	4096	Alien (USA)
Alien's Return (Europe)	c161f53b	4096	Alien's Return (Europe)
Alligator People (USA) (Proto)	b3f6d395	4096	Alligator People (USA) (Proto)
Alpha Beam (Europe) (Beta) (1983-06-03)	1651f45e	8192	Alpha Beam with Ernie (Japan, USA) (En)
Alpha Beam (Japan, USA) (En) (Beta) (1982-12-22)	85f1cb08	8192	Alpha Beam with Ernie (Japan, USA) (En)
Alpha Beam with Ernie (Europe)	943e8e12	8192	Alpha Beam with Ernie (Japan, USA) (En)
Alpha Beam with Ernie (Europe) (Alt)	d1ed3112	8192	Alpha Beam with Ernie (Japan, USA) (En)
Alpha Beam with Ernie (Japan, USA) (En)	27c6b897	8192	Alpha Beam with Ernie (Japan, USA) (En)
Amidar (Europe)	e9b05565	4096	Amidar (USA)
Amidar (USA)	8eb5bd72	4096	Amidar (USA)
AndroMan on the Moon (USA) (Proto)	18344a20	8192	AndroMan on the Moon (USA) (Proto)
Angeln I (Germany)	214f0076	2048	Angeln I (Germany)
Angriff der Luftflotten (Germany)	74fe8262	4096	Angriff der Luftflotten (Germany)
