#key	style	ss_system_id
3-D Genesis (USA) (Proto)	mixrbv2	26
3-D Ghost Attack (USA) (Proto)	mixrbv2	26
3-D Havoc (USA) (Proto)	mixrbv2	26
3-D Tic-Tac-Toe (USA)	mixrbv2	26
3-D Zapper (USA) (Proto) (1982-12-15)	mixrbv2	26
32 in 1 Game Cartridge (Europe, Australia)	mixrbv2	26
Acid Drop (Europe)	mixrbv2	26
Actionauts (USA) (Proto) (1984-06-22)	mixrbv2	26
Activision Decathlon, The (USA)	mixrbv2	26
Adventure (USA)	mixrbv2	26
Adventures of TRON (USA)	mixrbv2	26
Adventures on GX-12 (Europe)	mixrbv2	26
Air Raid (USA)	mixrbv2	26
Air Raiders (USA)	mixrbv2	26
Air-Sea Battle ~ Target Fun (Japan, USA) (En)	mixrbv2	26
Airlock (USA)	mixrbv2	26
Alien (USA)	mixrbv2	26
Alien's Return (Europe)	mixrbv2	26
Alligator People (USA) (Proto)	mixrbv2	26
Alpha Beam with Ernie (Japan, USA) (En)	mixrbv2	26
Amidar (USA)	mixrbv2	26
AndroMan on the Moon (USA) (Proto)	mixrbv2	26
Angeln I (Germany)	mixrbv2	26
Angriff der Luftflotten (Germany)	mixrbv2	26
Aquaventure (USA) (Proto) (1983-08-12)	mixrbv2	26
Armor Ambush (USA)	mixrbv2	26
Artillery Duel (USA)	mixrbv2	26
Assault (USA)	mixrbv2	26
Asteroids (USA)	mixrbv2	26
Astroblast (USA)	mixrbv2	26
Atari Video Cube (USA, Europe) (Atari Anthology)	mixrbv2	26
Atlantis (USA)	mixrbv2	26
Atlantis II (USA)	mixrbv2	26
Atom Smasher (USA) (Proto)	mixrbv2	26
BASIC Programming (USA)	mixrbv2	26
BMX Air Master (USA)	mixrbv2	26
Bachelor Party (USA)	mixrbv2	26
Bachelorette Party (USA)	mixrbv2	26
Backgammon (USA)	mixrbv2	26
Bank Heist (USA)	mixrbv2	26
Barnstorming (USA)	mixrbv2	26
Base Attack (Europe)	mixrbv2	26
Basic Math (USA)	mixrbv2	26
Basketball (USA)	mixrbv2	26
Battlezone (Japan, USA) (En)	mixrbv2	26
Beamrider (USA)	mixrbv2	26
Beany Bopper (USA)	mixrbv2	26
Beat'Em & Eat'Em (USA)	mixrbv2	26
Berenstain Bears (USA)	mixrbv2	26
Bermuda Triangle (USA)	mixrbv2	26
Berzerk (Japan, USA) (En)	mixrbv2	26
Big Bird's Egg Catch (Japan, USA) (En)	mixrbv2	26
Bionic Breakthrough (USA) (Proto)	mixrbv2	26
Birthday Mania (USA) (Robert A. Tokar)	mixrbv2	26
Black Jack (USA)	mixrbv2	26
Bloody Human Freeway (USA) (Proto)	mixrbv2	26
Blueprint (USA)	mixrbv2	26
Bobby Is Going Home (USA)	mixrbv2	26
Bogey Blaster (Europe)	mixrbv2	26
Boggle (USA) (Proto) (1978-08-07)	mixrbv2	26
Boing! (USA)	mixrbv2	26
Boom Bang (Europe)	mixrbv2	26
Bouncin' Baby Bunnies (USA) (Proto)	mixrbv2	26
Bowling (USA)	mixrbv2	26
Boxing (USA)	mixrbv2	26
Brain Games (USA)	mixrbv2	26
Breakout ~ Breakaway IV (Japan, USA) (En)	mixrbv2	26
Bridge (USA)	mixrbv2	26
Buck Rogers - Planet of Zoom (USA)	mixrbv2	26
Bugs (USA)	mixrbv2	26
Bugs Bunny (USA) (Proto 2)	mixrbv2	26
Bump 'n' Jump (USA)	mixrbv2	26
Bumper Bash (USA)	mixrbv2	26
BurgerTime (USA)	mixrbv2	26
Burning Desire (USA)	mixrbv2	26
Cabbage Patch Kids - Adventures in the Park (USA) (Proto) (1984-09-13)	mixrbv2	26
Cakewalk (USA)	mixrbv2	26
California Games (USA)	mixrbv2	26
Canyon Bomber (USA)	mixrbv2	26
Care Bears (USA) (Proto)	mixrbv2	26
Carnival (USA)	mixrbv2	26
Casino ~ Poker Plus (USA)	mixrbv2	26
Cat Trax (USA)	mixrbv2	26
Cathouse Blues (USA)	mixrbv2	26
Centipede (Japan, USA) (En)	mixrbv2	26
Challenge (Canada)	mixrbv2	26
Challenge of.... NEXAR, The (USA)	mixrbv2	26
Championship Soccer ~ Soccer (USA)	mixrbv2	26
Chase the Chuck Wagon (USA)	mixrbv2	26
Checkers (USA)	mixrbv2	26
China Syndrome (USA)	mixrbv2	26
Chopper Command (USA)	mixrbv2	26
Chuck Norris Superkicks (USA)	mixrbv2	26
Circus Atari (Japan, USA) (En)	mixrbv2	26
Coco Nuts (USA)	mixrbv2	26
Codebreaker (USA)	mixrbv2	26
Combat Two (USA) (Proto)	mixrbv2	26
Combat ~ Tank-Plus (Japan, USA) (En)	mixrbv2	26
Commando (USA)	mixrbv2	26
Commando Raid (USA)	mixrbv2	26
Communist Mutants from Space (USA)	mixrbv2	39
Condor Attack (USA)	mixrbv2	26
Confrontation (USA) (Proto)	mixrbv2	26
Congo Bongo (USA)	mixrbv2	26
Cookie Monster Munch (USA)	mixrbv2	26
Cosmic Ark (USA)	mixrbv2	26
Cosmic Commuter (USA)	mixrbv2	26
Cosmic Creeps (USA)	mixrbv2	26
Cosmic Swarm (USA)	mixrbv2	26
Crack'ed (USA) (Proto)	mixrbv2	26
Crackpots (USA)	mixrbv2	26
Crash Dive (USA)	mixrbv2	26
Crazy Climber (USA)	mixrbv2	26
Cross Force (USA)	mixrbv2	26
Crossbow (USA)	mixrbv2	26
Crypts of Chaos (USA)	mixrbv2	26
Crystal Castles (USA)	mixrbv2	26
Cubicolor (USA) (Proto)	mixrbv2	26
Custer's Revenge (USA)	mixrbv2	26
Dan Kitchen's Tomcat - The F-14 Fighter Simulator (USA)	mixrbv2	26
Dancing Plate (Europe) (Puzzy)	mixrbv2	26
Dark Cavern (USA)	mixrbv2	26
Dark Chambers (USA)	mixrbv2	26
David Crane's Pitfall II - Lost Caverns (USA)	mixrbv2	26
Deadly Duck (USA)	mixrbv2	26
Death Trap (USA)	mixrbv2	26
Defender (USA)	mixrbv2	26
Demolition Herby (USA)	mixrbv2	26
Demon Attack (Europe)	mixrbv2	26
Demons to Diamonds (USA)	mixrbv2	26
Depth Charge (USA) (Proto)	mixrbv2	26
Desert Falcon (USA)	mixrbv2	26
Dice Puzzle (USA)	mixrbv2	26
Dig Dug (USA)	mixrbv2	26
Dishaster (USA)	mixrbv2	26
Dodge 'Em (Europe) (Rev 1)	mixrbv2	26
Dodge 'Em ~ Dodger Cars (USA)	mixrbv2	26
Dolphin (USA)	mixrbv2	26
Donald Duck's Speedboat (USA) (Proto)	mixrbv2	26
Donkey Kong (USA)	mixrbv2	26
Donkey Kong Junior (USA)	mixrbv2	26
Double Dragon (USA)	mixrbv2	26
Double Dunk (USA)	mixrbv2	26
Dragon Defender (Europe)	mixrbv2	26
Dragonfire (USA)	mixrbv2	26
Dragonstomper (USA)	mixrbv2	39
Dragster (USA)	mixrbv2	26
Dschungel Boy (Europe)	mixrbv2	26
Dukes of Hazzard (USA) (Proto)	mixrbv2	26
Dumbo's Flying Circus (USA) (Proto)	mixrbv2	26
Dune (USA) (Proto)	mixrbv2	26
E.T. - The Extra-Terrestrial (USA)	mixrbv2	26
Earth Dies Screaming, The (USA)	mixrbv2	26
Eddy Langfinger, der Museumsdieb (Germany)	mixrbv2	26
Eggomania (USA)	mixrbv2	26
Elevator Action (USA) (Proto)	mixrbv2	26
Elf Adventure (USA) (Proto)	mixrbv2	26
Eli's Ladder (USA)	mixrbv2	26
Elk Attack (USA) (Proto)	mixrbv2	26
Encounter at L-5 (USA)	mixrbv2	26
Enduro (USA)	mixrbv2	26
Entity, The (USA) (Proto)	mixrbv2	26
Entombed (USA)	mixrbv2	26
Escape from the Mindmaster (USA)	mixrbv2	39
Espial (USA)	mixrbv2	26
Exocet (Europe)	mixrbv2	26
Extra Terrestrials (USA)	mixrbv2	26
Fantastic Voyage (USA)	mixrbv2	26
Farmyard Fun (USA)	mixrbv2	26
Fast Eddie (USA)	mixrbv2	26
Fast Food (USA)	mixrbv2	26
Fatal Run (USA)	mixrbv2	26
Fathom (USA)	mixrbv2	26
Final Approach (USA)	mixrbv2	26
Fire Fighter (USA)	mixrbv2	26
Fire Fly (USA)	mixrbv2	26
Fire Spinner (USA)	mixrbv2	26
Fireball (USA)	mixrbv2	39
Fishing Derby (USA)	mixrbv2	26
Flag Capture ~ Capture (USA)	mixrbv2	26
Flash Gordon (USA)	mixrbv2	26
Football (USA)	mixrbv2	26
Forest (Europe)	mixrbv2	26
Frankenstein's Monster (USA)	mixrbv2	26
Freeway (USA)	mixrbv2	26
Frisco (USA)	mixrbv2	26
Frog Pond (USA) (Proto)	mixrbv2	26
Frogger (USA)	mixrbv2	26
Frogger II - Threeedeep! (USA)	mixrbv2	26
Frogs and Flies (USA)	mixrbv2	26
Front Line (USA)	mixrbv2	26
Frostbite (USA)	mixrbv2	26
Funky Fish (USA) (Proto)	mixrbv2	26
G.I. Joe - Cobra Strike (USA)	mixrbv2	26
Galaxian (USA)	mixrbv2	26
Gamma-Attack (USA)	mixrbv2	26
Gangster Alley (USA)	mixrbv2	26
Garfield (USA) (Proto)	mixrbv2	26
Gas Hog (USA)	mixrbv2	26
Gauntlet (USA)	mixrbv2	26
Ghost Manor (USA)	mixrbv2	26
Ghostbusters (USA)	mixrbv2	26
Ghostbusters II (Europe)	mixrbv2	26
Gigolo (USA)	mixrbv2	26
Glacier Patrol (USA)	mixrbv2	26
Glib - Video Word Game (USA)	mixrbv2	26
Going-Up (USA) (Proto)	mixrbv2	26
Golf (USA)	mixrbv2	26
Good Luck, Charlie Brown (USA) (Proto)	mixrbv2	26
Gopher (USA)	mixrbv2	26
Gorf (USA)	mixrbv2	26
Grand Prix (USA)	mixrbv2	26
Gravitar (USA)	mixrbv2	26
Great Escape (USA)	mixrbv2	26
Gremlins (USA)	mixrbv2	26
Grover's Music Maker (USA) (Proto)	mixrbv2	26
Guardian (USA)	mixrbv2	26
Gyruss (USA)	mixrbv2	26
H.E.R.O. (USA)	mixrbv2	26
Halloween (USA)	mixrbv2	26
Hangman ~ Spelling (USA)	mixrbv2	26
Hard-Head (USA) (Proto)	mixrbv2	26
Harem (USA) (Proto)	mixrbv2	26
Haunted House (USA)	mixrbv2	26
Hole Hunter (USA)	mixrbv2	26
Holey Moley (USA) (Proto)	mixrbv2	26
Home Run ~ Baseball (USA)	mixrbv2	26
Human Cannonball ~ Cannon Man (USA)	mixrbv2	26
Hunt & Score ~ Memory Match (USA)	mixrbv2	26
I Want My Mommy (USA)	mixrbv2	26
IQ 180 (USA)	mixrbv2	26
Ice Hockey (USA)	mixrbv2	26
Ikari Warriors (USA)	mixrbv2	26
Immies & Aggies (USA) (Proto)	mixrbv2	26
Indy 500 (Europe)	mixrbv2	26
Indy 500 ~ Race (USA)	mixrbv2	26
Infiltrate (USA)	mixrbv2	26
International Soccer (USA)	mixrbv2	26
Ixion (USA) (Proto)	mixrbv2	26
James Bond 007 (USA)	mixrbv2	26
Jawbreaker (USA)	mixrbv2	26
Journey Escape (USA)	mixrbv2	26
Joust (USA)	mixrbv2	26
Jr. Pac-Man (USA)	mixrbv2	26
Jungle Fever (USA)	mixrbv2	26
Jungle Hunt (USA)	mixrbv2	26
Kabobber (USA) (Proto)	mixrbv2	26
Kaboom! (USA)	mixrbv2	26
Kamikaze Saucers (USA) (Proto)	mixrbv2	26
Kangaroo (USA)	mixrbv2	26
Karate (USA)	mixrbv2	26
Keystone Kapers (USA)	mixrbv2	26
Killer Satellites (USA)	mixrbv2	39
King Kong (USA)	mixrbv2	26
Klax (USA)	mixrbv2	26
Knight on the Town (USA)	mixrbv2	26
Kool-Aid Man (USA)	mixrbv2	26
Krull (USA)	mixrbv2	26
Kung-Fu Master (USA)	mixrbv2	26
Kyphus (USA) (Proto)	mixrbv2	26
Lady in Wading (USA)	mixrbv2	26
Laser Blast (USA)	mixrbv2	26
Laser Gates (USA)	mixrbv2	26
Lasercade (USA) (Proto)	mixrbv2	26
Lilly Adventure (USA)	mixrbv2	26
Lochjaw (USA)	mixrbv2	26
Lock 'n' Chase (USA)	mixrbv2	26
London Blitz (USA)	mixrbv2	26
Looping (USA) (Proto)	mixrbv2	26
Lord of the Rings, The - Journey to Rivendell (USA) (Proto)	mixrbv2	26
Lost Luggage (USA)	mixrbv2	26
M.A.D. (USA)	mixrbv2	26
M.A.S.H (USA)	mixrbv2	26
MagiCard (USA)	mixrbv2	26
Malagai (USA)	mixrbv2	26
Mangia' (USA)	mixrbv2	26
Marauder (USA)	mixrbv2	26
Marine Wars (USA)	mixrbv2	26
Mario Bros. (USA)	mixrbv2	26
Master Builder (USA)	mixrbv2	26
Masters of the Universe - The Power of He-Man (USA)	mixrbv2	26
Math Gran Prix (USA)	mixrbv2	26
Maze Craze - A Game of Cops 'n Robbers ~ Maze Mania - A Game of Cops 'n Robbers (USA)	mixrbv2	26
Mazy Match (USA) (Proto)	mixrbv2	26
McDonald's - Golden Arches Adventure (USA) (Proto)	mixrbv2	26
Mega Force (USA)	mixrbv2	26
MegaBoy (USA)	mixrbv2	26
MegaMania - A Space Nightmare (USA)	mixrbv2	26
Meltdown (USA) (Proto)	mixrbv2	26
Meteor Defense (Europe)	mixrbv2	26
Midnight Magic (USA)	mixrbv2	26
Millipede (USA)	mixrbv2	26
Mind Maze (USA)	mixrbv2	26
Miner 2049er - Starring Bounty Bob (USA)	mixrbv2	26
Miner 2049er Volume II (USA)	mixrbv2	26
Mines of Minos (USA)	mixrbv2	26
Miniature Golf ~ Arcade Golf (USA)	mixrbv2	26
Miss Piggy's Wedding (USA) (Proto)	mixrbv2	26
Missile Command (USA)	mixrbv2	26
Missile Control (Europe)	mixrbv2	26
Mission 3,000 A.D. (USA)	mixrbv2	26
Mission Survive (Europe)	mixrbv2	26
Mogul Maniac (USA)	mixrbv2	26
Monster Cise (USA) (Proto)	mixrbv2	26
Montezuma's Revenge - Featuring Panama Joe (USA)	mixrbv2	26
Moon Patrol (USA)	mixrbv2	26
Moonsweeper (USA)	mixrbv2	26
MotoRodeo (USA)	mixrbv2	26
Motocross (Europe) (Quelle)	mixrbv2	26
Motocross Racer (USA)	mixrbv2	26
Mountain King (USA)	mixrbv2	26
Mouse Trap (USA)	mixrbv2	26
Mr. Do! (USA)	mixrbv2	26
Mr. Do!'s Castle (USA)	mixrbv2	26
Mr. Postman (USA)	mixrbv2	26
Ms. Pac-Man (USA)	mixrbv2	26
Music Machine, The (USA)	mixrbv2	26
My Golf (Germany) (En,De)	mixrbv2	26
Mysterious Thief, A (USA) (Proto)	mixrbv2	26
Name This Game (USA)	mixrbv2	26
Night Driver (USA)	mixrbv2	26
Nightmare (Europe)	mixrbv2	26
No Escape! (USA)	mixrbv2	26
Nuts (USA)	mixrbv2	26
Obelix (USA)	mixrbv2	26
Off Your Rocker (USA) (Proto)	mixrbv2	26
Off the Wall (USA)	mixrbv2	26
Official Frogger, The (USA)	mixrbv2	26
Oink! (USA)	mixrbv2	26
Omega Race (USA)	mixrbv2	26
Open Sesame (Europe) (Goliath)	mixrbv2	26
Oscar's Trash Race (USA)	mixrbv2	26
Othello (USA)	mixrbv2	26
Out of Control (USA)	mixrbv2	26
Outlaw ~ Gunslinger (USA)	mixrbv2	26
Pac-Kong (Germany)	mixrbv2	26
Pac-Man (USA)	mixrbv2	26
Panda Chase (Europe)	mixrbv2	26
Party Mix (USA)	mixrbv2	39
Peek-A-Boo (USA) (Proto)	mixrbv2	26
Pengo (USA)	mixrbv2	26
Pete Rose Baseball (USA)	mixrbv2	26
Phantom Tank (Europe)	mixrbv2	26
Phantom UFO (USA)	mixrbv2	26
Phantom-Panzer + Phantom Tank (Germany)	mixrbv2	26
Pharaoh's Curse (USA)	mixrbv2	26
Phaser Patrol (USA)	mixrbv2	39
Phoenix (USA)	mixrbv2	26
Pick 'n' Pile (Europe)	mixrbv2	26
Pick Up (USA) (Proto)	mixrbv2	26
Picnic (USA)	mixrbv2	26
Piece o' Cake (USA)	mixrbv2	26
Pigs in Space - Starring Miss Piggy (USA)	mixrbv2	26
Pitfall! - Pitfall Harry's Jungle Adventure (USA)	mixrbv2	26
Pizza Chef (USA) (Proto)	mixrbv2	26
Planet Patrol (USA)	mixrbv2	26
Planet of the Apes (USA) (Proto)	mixrbv2	26
Plaque Attack (USA)	mixrbv2	26
Pleiades (USA) (Proto 2) (1983-05-06)	mixrbv2	26
Polaris (USA)	mixrbv2	26
Pole Position (USA)	mixrbv2	26
Polo (USA) (Proto)	mixrbv2	26
Pompeii (USA) (Proto)	mixrbv2	26
Pooyan (USA)	mixrbv2	26
Popeye (USA)	mixrbv2	26
Porky's (USA)	mixrbv2	26
Power Lords (USA) (Proto)	mixrbv2	26
Pressure Cooker (USA)	mixrbv2	26
Private Eye (USA)	mixrbv2	26
Pursuit of the Pink Panther (USA) (Proto) [b]	mixrbv2	26
Pygmy (Europe)	mixrbv2	26
Q-bert (USA)	mixrbv2	26
Q-bert's Qubes (USA)	mixrbv2	26
Quadrun (USA)	mixrbv2	26
Quest for Quintana Roo (USA)	mixrbv2	26
Quick Step (Europe)	mixrbv2	26
Quick Step! (USA)	mixrbv2	26
Rabbit Transit (USA)	mixrbv2	39
Racer (USA) (Proto)	mixrbv2	26
Racing Car (USA)	mixrbv2	26
Racquetball (USA)	mixrbv2	26
Radar (USA)	mixrbv2	26
Radar Lock (USA)	mixrbv2	26
Raft Rider (USA)	mixrbv2	26
Raiders of the Lost Ark (USA)	mixrbv2	26
Ram It (USA)	mixrbv2	26
Rampage! (USA)	mixrbv2	26
Raumpatrouille (USA)	mixrbv2	26
Reactor (USA)	mixrbv2	26
RealSports Baseball (USA) (NTSC)	mixrbv2	26
RealSports Boxing (USA, Europe) (En,Fr,De,Es,It)	mixrbv2	26
RealSports Football (USA, Europe) (En,Fr,De,Es,It)	mixrbv2	26
RealSports Soccer (USA, Europe) (En,Fr,De,Es,It)	mixrbv2	26
RealSports Tennis (USA, Europe) (En,Fr,De,Es,It)	mixrbv2	26
RealSports Volleyball (USA, Europe) (En,Fr,De,Es,It)	mixrbv2	26
Red Sea Crossing (USA)	mixrbv2	26
Rescue Terra I (USA)	mixrbv2	26
Revenge of the Beefsteak Tomatoes (USA)	mixrbv2	26
Riddle of the Sphinx (USA)	mixrbv2	26
River Patrol (USA)	mixrbv2	26
River Raid (USA)	mixrbv2	26
River Raid II (USA)	mixrbv2	26
Road Runner (USA)	mixrbv2	26
Robin Hood (USA)	mixrbv2	26
Robot Tank (USA)	mixrbv2	26
Roc 'n Rope (USA)	mixrbv2	26
Rocky & Bullwinkle (USA) (Proto)	mixrbv2	26
Room of Doom (USA)	mixrbv2	26
Rubik's Cube (USA)	mixrbv2	26
Rush Hour (USA) (Proto)	mixrbv2	26
S.A.C. Alert (USA) (Proto)	mixrbv2	26
SCRMNN (USA) (Proto)	mixrbv2	26
Saboteur (USA) (Proto) (1983-09-02)	mixrbv2	26
Save Mary! (USA) (Proto)	mixrbv2	26
Save Our Ship (USA)	mixrbv2	26
Save the Whales (USA) (Proto)	mixrbv2	26
Sea Battle (USA)	mixrbv2	26
Sea Hawk (USA)	mixrbv2	26
Sea Hunt ~ Scuba Diver (USA)	mixrbv2	26
Sea Monster (USA)	mixrbv2	26
Seaquest (USA)	mixrbv2	26
Secret Agent (USA) (Proto)	mixrbv2	26
Secret Quest (USA)	mixrbv2	26
See Saw (Europe)	mixrbv2	26
Sentinel (USA)	mixrbv2	26
Shootin' Gallery (USA)	mixrbv2	26
Shooting Arcade (USA) (Proto)	mixrbv2	26
Shuttle Orbiter (USA)	mixrbv2	26
Sinistar (USA) (Proto)	mixrbv2	26
Sir Lancelot (USA)	mixrbv2	26
Six Pack (USA) (Proto)	mixrbv2	26
Skate Boardin' (USA)	mixrbv2	26
Skeet Shoot (USA)	mixrbv2	26
Ski Hunt (Europe)	mixrbv2	26
Ski Run (USA)	mixrbv2	26
Skiing (USA)	mixrbv2	26
Skindiver (Europe)	mixrbv2	26
Sky Diver (Europe)	mixrbv2	26
Sky Diver ~ Dare Diver (USA)	mixrbv2	26
Sky Jinks (USA)	mixrbv2	26
Sky Patrol (USA) (Proto)	mixrbv2	26
Sky Skipper (USA)	mixrbv2	26
Skydiver (Europe)	mixrbv2	26
Slot Machine ~ Slots (USA)	mixrbv2	26
Slot Racers (Europe)	mixrbv2	26
Slot Racers ~ Maze (USA)	mixrbv2	26
Smurf - Rescue in Gargamel's Castle (USA)	mixrbv2	26
