#key	synopsis
3-D Genesis (USA) (Proto)	Dans un futur lointain, la planète est envahie par d'énormes super insectes qui se battent férocement pour survivre. Vous avez choisi un camp pour lequel vous battre, et l'ennemi a été conduit dans une profonde crevasse, mais maintenant vous êtes en infériorité numérique. Vous mettez leurs chiffres à l'épreuve. Ils disent que les doux hériteront de la Terre, mais combien de temps pouvez-vous la défendre? Il était initialement prévu que ce soit l'un des 3 jeux &quot;3-D&quot; sur la cartouche Power-Play Arcade n ° 1. Une capture d'écran a été affichée dans un catalogue pour le système d'alimentation d'Amiga, mais aucune description n'a été incluse. Il a été programmé par Dan McElroy et Jerry Lawson en 1983, mis sur les tablettes et mis à disposition pour une sortie limitée en 2010.
3-D Ghost Attack (USA) (Proto)	&quot;Ils disent que le manoir est hanté, mais personne ne le sait vraiment. Et vous devez juste le découvrir. Armé de votre photobeam, vous commencez votre recherche. Soudain, il y a un flash de lumière. Puis un autre. Et un autre.&quot; Tout autour de vous vient des murs, des portes, des fenêtres, de partout. Vous attrapez votre fidèle photobeam. Maintenant, quelqu'un le sait, c'est sûr ... &quot;
3-D Havoc (USA) (Proto)	Encore un jeu de tir, mais cette fois-ci, vous êtes aux commandes d'un vaisseau spatial qui se trouve en plein champ d'astéroïdes. Un joueur. Une version prototype existe mais elle n'est pas en 3D. Comme 3-D Genesis, il devait faire partie des jeux sur cassette livrés avec le Power Module puis de la compilation Power Play Arcade 1.
3-D Tic-Tac-Toe (USA)	3-D Tic-Tac-Toe pour Atari VCS 2600 est un jeu de société développé par Atari. Le principe du jeu est le même que le Tic-Tac-Toe sur papier, la seule différence étant que l'on peut également faire des alignements en profondeur. Le nombre de X ou O à aligner est de 4.
3-D Zapper (USA) (Proto) (1982-12-15)	3d Zapper est une version terminée d'un prototype non terminé durant son développement initial. Selon le programmeur Todd Marshall: «Il y avait un jeu spatial en 3-D sur lequel je travaillais (appelé 3-D Zapper dans les mémos de l'entreprise). Il y a eu un débat au JWDA sur la 3D. Pour une raison quelconque, Jim Wickstead envisageait de créer un jeu en 3-D. Je ne me souviens pas pourquoi. Quand j'ai arrêté, je pensais présenter l'idée de jeu en 3-D et le deuxième de ces chariots a un pistolet 3-D et des ennemis 3-D et une détection de coup.
32 in 1 Game Cartridge (Europe, Australia)	Cartouche contenant 32 jeux pour l'Atari 2600, dont voici la liste : 1. UFO (a renaming of U. S. Game's Space Jockey) 2. Flag Capture 3. Human Cannonball 4. Reversi (a renaming of Atari's Othello) 5. Activision's Checkers 6. Slot Racers 7. Blackjack 8. Fishing (a graphic hack of Activision's Fishing Derby in which you are fishing for crabs) 9. Freeway Rabbit (a graphic hack of Activision's Freeway in which you are a rabbit) 10. Space War 11. Fun with Numbers 12. Golf 13. 3-D Tic-Tac-Toe 14. Surround 15. Miniature Golf 16. Activision's Boxing 17. Football 18. Air-Sea Battle 19. Freeway Chicken (a renaming of Activision's Freeway) 20. Activision's Tennis 21. Activision's Skiing 22. Activision's Fishing Derby 23. Sky Diver 24. Bowling 25. Combat 26. Activision's Stampede 27. Activision's Laser Blast 28. Outlaw 29. Slot Machine 30. Basketball 31. Home Run 32. Ant Party (a renaming of CommaVid's Cosmic Swarm)
Acid Drop (Europe)	Acid Drop est un jeu sur Atari VCS 2600 dont le but consiste à créer des lignes horizontales ou verticales de trois blocs ou plus de même couleur.
Actionauts (USA) (Proto) (1984-06-22)	Le but d'Actionauts est de programmer votre robot pour effectuer une série de commandes. Utilisez le joystick pour définir les commandes afin que le robot parcourt un chemin. Sur le Commodore 64, vous pouvez modifier la grille pour définir un autre le chemin, la programmation se fait principalement sur la même page et vous pouvez choisir parmi quatre conceptions de robot. Sur l'Atari 2600, vous choisissez suelment parmi les labyrinthes prédéfinis, la programmation est sur un second écran et vous essayerez d'atteindre l'objectif.
Activision Decathlon, The (USA)	The Activision Decathlon est un jeu de sport sorti sur Atari VCS 2600. Jusqu'à 4 joueurs peuvent s'affronter sur les différentes épreuves d'un décathlon : saut en longueur, 100m, 400m, lancer de javelot ou encore 1500m.
Adventure (USA)	Un méchant sorcier a volé une coupe enchantée. Vous avez mission de la retrouver. Trois dragons implacables et une chauve-souris noire vont vous barrer le chemin.Fort heureusement, dans ce jeu, il suffit de presser un bouton pour se réincarner.
Adventures of TRON (USA)	Adventures of Tron est basé sur le film Tron produit par Walt Disney. L'environnement de jeu se compose de 4 étages, chacun avec des &quot;bits&quot; volants ainsi que des ennemis. Le but du jeu est de contrôler Tron (vous) dans un labyrinthe de plates-formes et d'ascenseurs et d'intercepter les bits volants. Vous avez un total de 4 vies en jeu. Faites en sorte que chacune en vaille la peine !
Adventures on GX-12 (Europe)	Adventures of Tron est basé sur le film Tron produit par Walt Disney. L'environnement de jeu se compose de 4 étages, chacun avec des &quot;bits&quot; volants ainsi que des ennemis. Le but du jeu est de contrôler Tron (vous) dans un labyrinthe de plates-formes et d'ascenseurs et d'intercepter les bits volants. Vous avez un total de 4 vies en jeu. Faites en sorte que chacune en vaille la peine !
Air Raid (USA)	Air Raid est un jeu paru sur Atari VCS 2600. A bord d'un vaisseau volant, votre objectif est de détruire des missiles avant qu'ils ne réduisent votre ville en poussière.
Air Raiders (USA)	Un simple jeu de simulateur de vol. Tirez sur les avions, évitez les tirs d'artillerie. Vous avez une quantité limitée de munitions et de carburant. Tirez sur 10 avions et vous pourrez atterrir pour faire le plein, mais vous risquez de perdre des munitions. On ne vous donnera que la quantité de munitions que vous avez utilisée avec succès pour abattre des avions la dernière fois.
Air-Sea Battle ~ Target Fun (Japan, USA) (En) (Atari Anthology)	Dans Air-Sea Battle, un jeu de tir paru sur Atari VCS 2600, vous êtes à bord d'un sous-marin, d'un bateau ou d'un avion de chasse et devez détruire toutes les cibles qui se présentent à vous.
Air-Sea Battle ~ Target Fun (Japan, USA) (En)	Dans Air-Sea Battle, un jeu de tir paru sur Atari VCS 2600, vous êtes à bord d'un sous-marin, d'un bateau ou d'un avion de chasse et devez détruire toutes les cibles qui se présentent à vous.
Airlock (USA)	Le joueur est pris au piège dans un sous-marin nucléaire accidenté qui a commencé à prendre l'eau. Il doit s'échapper en remontant les niveaux du sous-marin un par un. Chaque étage possède deux clés d'écoutille qui doivent être récupérées afin de déverrouiller l'ascenseur au niveau suivant. Il y a une limite de temps, cependant ; si vous prenez trop de temps, le sol sera inondé et vous ne pourrez pas vous échapper. En raison de l'accident, les torpilles à bord du sous-marin sont maintenant lâches et errent sur le plancher pendant que le bateau tremble. Le joueur devra sauter par-dessus toutes les torpilles qui croisent son chemin, sinon il sera assommé momentanément et perdra un temps précieux.
Alien (USA)	Dans ce jeu basé, vaguement, sur le film du même nom, vous devez vous déplacer dans un labyrinthe (les salles de votre navire d'après le manuel), comme Pac-Man, pour ramasser les points (détruire les oeufs extraterrestres). Si vous ramassez le point de puissance (pulsar), vous pouvez tuer n'importe lequel des trois extraterrestres, pour une courte période. Il n'y a que trois ennemis dans le labyrinthe à la fois, il y a un objet bonus à la fois et un seul point de pouvoir (pulsar) à la fois. Lorsque vous attrapez le pulsar, il apparaîtra à l'un des deux autres endroits.
Alien's Return (Europe)	Un extraterrestre s'est écrasé sur Terre et pour retourner sur sa planète, il doit trouver les quatre pièces de son vaisseau spatial. Allez dans les différentes pièces et appuyez sur le bouton. Espérons qu'un morceau du navire apparaîtra dans un coin de l'écran. Ramassez-le et répétez l'opération jusqu'à ce que vous puissiez rentrer chez vous. Méfiez-vous des gardiens, cependant, car ils vous suivront pour vous piéger.
Alligator People (USA) (Proto)	Vous êtes perdu dans la partie la plus profonde de la jungle. Six de vos amis sont tombés sous le charme du peuple alligator. Ils se transforment lentement en alligators et vous êtes le seul au monde à pouvoir les sauver! Pour arrêter cette transformation, vous devez inoculer à chacun d'eux un antidote spécial que vous recueillez à travers le marais. Vous n'avez pas beaucoup de temps! Sans oublier que les alligators vous poursuivent alors que vous tentez de rassembler des fioles d'antidote! Plus vous attendez, plus vous avez besoin d'antidote pour inverser les effets du peuple alligator! Alligator People est un prototype inédit basé sur le film du même nom.
Alpha Beam with Ernie (Japan, USA) (En)	Le vaisseau d'Ernie est à court de carburant et c'est à vous de l'aider. Utilisez les boutons du contrôleur pour déplacer votre navire vers la gauche ou vers la droite et téléporter les lettres vers les emplacements appropriés sur le navire d'Ernie. Une fois que toutes les lettres sont en place, Ernie peut s'envoler. Ce jeu aide les enfants à apprendre à reconnaître les lettres et à faire correspondre les majuscules aux minuscules et à reconnaître les lettres faciles à confondre. Le manuel du jeu contenait également une histoire lue à voix haute. Pour les 3-7 ans.
Amidar (USA)	Amidar, c'est un peu comme si Pac-Man rencontrait Qix : le but est de repeindre des rectangles prédéfinis là où dans Qix le joueur était libre de dessiner ses formes peintes. Dans le premier niveau, on dirige un gorille qui collecte en chemin des pastilles tout en repeignant les cases et en évitant des personnages armés d'une lance. S'il peint les quatre coins de l'aire de jeu, il devient invulnérable pendant un moment. Suivent ensuite un niveau bonus et le second niveau qui se corse. En effet, le rouleau de peinture qu'on dirige alors ne peut peindre que des cases adjacentes à celles déjà peintes. Le jeu se répète au-delà de ce 2ème niveau. Sympathique surtout pour ses mélodies.
AndroMan on the Moon (USA) (Proto)	Androman on the Moon était l'un des nombreux jeux prévus pour le robot Androman inédit. Bien que certains des jeux auraient été programmés, Androman on the Moon est le premier à faire surface. Androman était un petit robot blanc qui se précipitait sur un tapis de sol pendant que le joueur le contrôlait à l'aide de l'Atari 2600. Androman avait également un lecteur de codes-barres dans le bas qui lisait les codes-barres placés sur la carte afin que le 2600 (et le robot) sache où il était. Androman extrait des minéraux sur la lune lorsqu'il est attaqué par des extraterrestres. Le tapis de sol géant aurait les emplacements des mines, et le joueur devrait guider Androman vers eux. Une fois qu'Androman était au-dessus d'une mine, le 2600 montrait la partie du labyrinthe de mines du jeu. Dans le labyrinthe de mines, le joueur doit guider Androman (représenté par un X) à travers le labyrinthe tout en évitant l'extraterrestre (représenté par un visage vert).
Angeln I (Germany)	Votre objectif est d'attraper plus de poissons-lune que votre adversaire. Mais ce n'est pas seulement entre vous et l'autre pêcheur, car un gros requin noir se cache juste sous la surface, attendant de voler vos prises! Vous pouvez opter pour les petits poissons près de la surface de l'eau pour moins de points (mais plus de poissons), ou lancer votre ligne jusqu'au fond pour le grand transport, avec le risque supplémentaire que le requin vole vos prises.
Angriff der Luftflotten (Germany)	M.A.D. (qui signifie Missile Attack et Defense) est un jeu d'arcade assez similaire à Missile Command. Vous contrôlez un canon à photons au bas de l'écran, et votre objectif est de protéger six stations d'énergie à gauche et à droite. Des vagues de roquettes et d'autres vaisseaux passeront par l'écran et parfois un tombera dans la tentative de détruire une des stations (comme un avertissement sur la plupart des niveaux, l'ennemi sera blanc avant de tomber). Vous devez être sûr de tirer avant votre station d'énergie ne soit détruite! Lorsque les six stations d'énergie ont été détruites par l'ennemi, le jeu est terminé. Une variation pour deux joueurs est également incluse; un joueur contrôlera le canon photon et le deuxième joueur contrôle un curseur et peut sélectionner quand et où un ennemi tombera. Les joueurs alternent entre attaque et défense dans cette version.
Aquaventure (USA) (Proto) (1983-08-12)	Vous êtes un plongeur, vous plongez au large des côtes de l'Alaska. Votre objectif est d'éviter les poissons mortels, de saisir les trésors cachés sous la surface et de revenir à la surface pour reprendre de l'air.
Armor Ambush (USA)	Armor Ambush est un jeu qui permet aux joueurs de contrôler des chars qui s'affrontent sur des terrains offrant différents degrés de texture et de maniabilité.
Artillery Duel (USA) (Alt)	Dans ce jeu à deux joueurs, chaque joueur contrôle un canon d'artillerie placé dans un paysage de montagne dans le but de détruire l'autre joueur. Les joueurs se tirent les uns sur les autres à tour de rôle ; à chaque tour, vous disposez d'un temps limité pour régler l'angle du canon et le niveau de poudre afin de contrôler la direction et la distance du tir. Lorsque vous déciderez de votre tir, vous devrez tenir compte des conditions actuelles, notamment la vitesse et la direction du vent ainsi que les montagnes qui pourraient vous barrer la route. Si vous réussissez à détruire l'arme de vos adversaires, vous gagnerez un point, et le premier joueur à atteindre le nombre de points fixé gagnera la partie. Il y a plusieurs niveaux de compétences disponibles qui déterminent le temps dont vous disposez pour faire un tir.
Artillery Duel (USA)	Dans ce jeu à deux joueurs, chaque joueur contrôle un canon d'artillerie placé dans un paysage de montagne dans le but de détruire l'autre joueur. Les joueurs se tirent les uns sur les autres à tour de rôle ; à chaque tour, vous disposez d'un temps limité pour régler l'angle du canon et le niveau de poudre afin de contrôler la direction et la distance du tir. Lorsque vous déciderez de votre tir, vous devrez tenir compte des conditions actuelles, notamment la vitesse et la direction du vent ainsi que les montagnes qui pourraient vous barrer la route. Si vous réussissez à détruire l'arme de vos adversaires, vous gagnerez un point, et le premier joueur à atteindre le nombre de points fixé gagnera la partie. Il y a plusieurs niveaux de compétences disponibles qui déterminent le temps dont vous disposez pour faire un tir.
Assault (USA)	Un vaisseau mère laisse tomber des aliens, jusqu'à trois à l'écran à la fois. Il y en a dix par niveau. Vous devez leur tirer dessus, mais évitez les objets qu'ils vous tirent dessus. Plus tard, les ennemis lâcheront des boules de feu qui vous pourchasseront le long du sol ou se diviseront en deux ennemis plus petits lorsqu'on leur tirera dessus. Si vous tirez sans arrêt, vous allez accumuler de la chaleur comme indiqué par la barre verte en bas à droite. Si vous surchauffez ou êtes frappé par un ennemi, vous perdez une vie. Le jeu est terminé lorsque vous perdez toutes vos vies ou que vous atteignez un score de 999 999 999. Vous obtenez une nouvelle vie (4 au maximum) tous les 10 000 points.
Asteroids (Japan, USA) (En)	Dans Asteroids sur Atari VCS 2600, vous pilotez un vaisseau au milieu d'un nuage d'astéroïdes que vous allez devoir éviter et détruire. Une fois tout le nuage détruit, vous passez au niveau suivant. Le jeu comprend plusieurs modes dont un multijoueur à 2.
