#key	synopsis
32 in 1 Game Cartridge (Europe, Australia)	Questa fu una cartuccia uscita in formato PAL in Europa, Australia e Nuova Zelanda. La maggior parte delle copie è stata venduta insieme all'Atari 2600 in Regno Unito e insieme all'Atari 7800 in Australia e Nuova Zelanda, ma è stata rilasciata anche come gioco a sé stante per l'Atari 2600. Ogni volta che l'Atari 2600 o l'Atari 7800 veniva acceso, veniva selezionato un gioco diverso.
Adventure (USA)	Un mago malvagio ha rubato il Calice Incantato e lo ha nascosto da qualche parte nel Regno. Lo scopo del gioco è salvare il Calice Incantato e collocarlo all'interno del Castello d'Oro a cui appartiene. Adventure è stato il primo gioco di azione e avventura su una console, il primo a contenere un famoso Easter Egg e il primo a consentire al giocatore di avere una scorta di oggetti, che richiedeva al giocatore di selezionare quale utilizzare in qualsiasi momento. dato momento, solitamente tramite input da tastiera o joystick. L'avventura permetteva al giocatore di lasciare cadere un oggetto e prenderne un altro senza dover digitare alcun comando.
Amidar (USA)	Amidar è un incrocio tra Pacman e Qix: lo scopo del gioco è di riempire i vari rettangoli presenti sullo schermo dipingendone i quattro lati ed evitando i nemici (gli Amidar) che si muovono sullo schermo con un pattern di movimento caratteristico. Il giocatore può usare per tre volte il pulsante di fuoco per far saltare i nemici ed evitare di essere colpito.
Asteroids (Japan, USA) (En)	Asteroids è la conversione del gioco arcade con lo stesso nome. Gioca nei panni del pilota di un'astronave intrappolato in una gigantesca nuvola di asteroidi e polverizza gli asteroidi in arrivo con il cannone fotonico della nave. Quando tutti gli asteroidi vengono distrutti, il gioco può passare al livello successivo. Oltre all'asteroide, il giocatore dovrà affrontare anche una nave aliena che sparerà in modo casuale sullo schermo.
Asteroids (USA)	Asteroids è la conversione del gioco arcade con lo stesso nome. Gioca nei panni del pilota di un'astronave intrappolato in una gigantesca nuvola di asteroidi e polverizza gli asteroidi in arrivo con il cannone fotonico della nave. Quando tutti gli asteroidi vengono distrutti, il gioco può passare al livello successivo. Oltre all'asteroide, il giocatore dovrà affrontare anche una nave aliena che sparerà in modo casuale sullo schermo.
Astroblast (USA)	Astroblast è la versione Atari del gioco Intellivision Astrosmash. In Astroblast il giocatore deve difendere il suo pianeta da una pioggia di meteoriti, sparando alle rocce spaziali giganti in modo che non si schiantino sulla superficie. Controlli una base di difesa nel mezzo di una pioggia di meteoriti e altri oggetti interstellari, quando ne distruggi uno guadagni punti e si divide in 2 meteoriti più piccoli, ma fai attenzione a non essere colpito da nessuno di essi o che raggiungano il terra perché perderai punti.
Atlantis (USA)	La città perduta di Atlantide è sotto attacco! Ondate di navi Gorgon si stanno avvicinando, ciascuna armata con armi in grado di distruggere una parte della città. Sei responsabile dei posti di comando ai margini della città e devi difenderla dagli invasori. Le varie navi Gorgon continueranno a volare sullo schermo in numero variabile e con diversi schemi di volo. All'inizio volano alte nel cielo, ma poi progressivamente più basse. Se un nemico si abbassa abbastanza prima che tu lo distrugga, userà le sue armi e distruggerà uno degli edifici di Atlantide. Man mano che avanzi nel gioco, la nave nemica continuerà ad aumentare di velocità. Il gioco termina quando tutti gli edifici rimanenti nella città sono stati distrutti.
Battlezone (Japan, USA) (En)	Il gioco di carri armati 3D di Atari Games è stato rivoluzionario quando è stato rilasciato nelle sale giochi e come tale è stato ufficialmente convertito su molti sistemi. La Terra è stata invasa e tu e il tuo carro armato guidate lo sforzo difensivo. Guidi sul campo di battaglia dalla visuale in prima persona, prendendo di mira e sparando a carri armati, aerei e UFO. Hai un radar per aiutarti a vedere dove si trovano i nemici in direzione e distanza. Gli oggetti possono essere utilizzati come copertura strategica. I controlli simulano realisticamente le orme di un carro armato, quindi le impostazioni di direzione e velocità sono varie: combinando i movimenti in avanti a destra e indietro a sinistra (come puoi fare nelle versioni con tastiera) puoi cambiare direzione più rapidamente.
Berzerk (Japan, USA) (En)	Sei prigioniero su un pianeta alieno fatto di labirinti. Le bande di robot ti danno la caccia e devi sparargli prima che ti colpiscano. Il malvagio Otto, un volto sinistro e sorridente che è invincibile, ti insegue. Se riesci a mantenere la calma e a non impazzire, eliminerai i robot, sfuggirai al malvagio Otto e otterrai punti importanti. La versione per videogiochi casalinghi di un gioco arcade tra i preferiti.
Boxing (USA)	La boxe mostra una vista dall'alto di due pugili, uno bianco e uno nero. Quando è abbastanza vicino, un pugile può colpire il suo avversario con un pugno (eseguito premendo il pulsante di fuoco sul joystick Atari). Questo fa indietreggiare leggermente il suo avversario. I pugni lunghi valgono un punto, mentre i pugni più vicini ne valgono due. Non ci sono knockdown o round. Una partita viene completata quando un giocatore mette a segno 100 pugni (per &quot;knockout&quot;) o sono trascorsi due minuti (per &quot;decisione&quot;). In caso di decisione, il vincitore è il giocatore che ha messo a segno più pugni. I pareggi sono possibili. Sebbene il gameplay sia semplice, ci sono sottigliezze, come mettere un avversario sulle &quot;corde&quot; e &quot;costringerlo&quot; avanti e indietro tra pugni alternati.
California Games (USA)	CALIFORNIA GAMES è una prova di abilità per uno o più giocatori, fino a un massimo di otto. L'obiettivo è vincere i trofei in ogni evento, oltre al trofeo per la migliore prestazione complessiva. Ci sono diversi test: Half Pipe Skateboard, Foot Bag, Surf, BMX Bike Racing. È possibile allenarsi o gareggiare in un solo evento, gareggiare in tutti o addirittura organizzare una gara con gli eventi di propria scelta. Ogni giocatore sceglie uno sponsor per la competizione. Sarete giudicati per ogni evento e terranno traccia dei vostri totali. I trofei vengono assegnati ai migliori. Se si stabilisce un nuovo record in qualsiasi evento, il proprio nome sarà inciso e visualizzato nell'albo d'oro. Provate a diventare il campione della California!
