#key	synopsis
3-D Genesis (USA) (Proto)	Em um futuro distante, o planeta será invadido por enormes superinsetos que lutam ferozmente pela sobrevivência. Você escolheu um lado pelo qual lutar e o inimigo foi levado para uma fenda profunda, mas agora você está em menor número. Você coloca seus números à prova. Eles dizem que os mansos herdarão a Terra, mas por quanto tempo você pode defendê-la? Este jogo foi originalmente planejado para ser um dos jogos 3 &quot;3-D&quot; no cartucho Power-Play Arcade nº 1. Uma captura de tela foi exibida em um catálogo para o power system Amiga, mas nenhuma descrição foi incluída. Foi programado por Dan McElroy e Jerry Lawson em 1983, colocado nas prateleiras e disponibilizado para lançamento limitado em 2010.
3-D Ghost Attack (USA) (Proto)	&quot;Eles dizem que a mansão é assombrada, Mas ninguém realmente sabe ao certo. E você só precisa descobrir. Armado com sua fotomicrografia, você começa sua busca. De repente, há um flash de luz. Depois outra. E outra. Tudo ao seu redor vem das paredes, portas, janelas, em todos os lugares. Você alcança sua confiável photobeam. Agora alguém sabe com certeza ... &quot;
3-D Havoc (USA) (Proto)	Outro shooter, mas desta vez você está no comando de uma nave que está no meio do campo de asteróides. Um jogador. Existe uma versão de protótipo, mas não é em 3D. Como o 3-D Genesis, ele faria parte dos jogos em cassete que vinham com o Power Module e depois com a compilação Power Play Arcade 1.
3-D Tic-Tac-Toe (USA)	3-d tic-tac-toe é, como o próprio nome diz, uma versão em 3d do jogo tic-tac-toe. O objetivo do jogo é colocar quatro x ou quatro O em um arquivo horizontal, vertical ou diagonal na placa 4x4. Há mais de um modo de jogo. É possível jogar com um humano contra o computador. Os números 1-8 representam o nível de habilidade. O jogo 9 é um jogo de dois jogadores.
3-D Zapper (USA) (Proto) (1982-12-15)	Um protótipo não lançado para o Atari 2600 chamado &quot;3-D Zapper&quot;.
32 in 1 Game Cartridge (Europe, Australia)	Este cartucho foi lançado em formato PAL na Europa, Austrália e Nova Zelândia. Em sua maioria, eram jogos que vinham com o Atari2600 (cada versão de aparelho continha 1 desses jogos. Este cartucho foi o primeiro multi-jogos, contendo todos os jogos que podiam vir com o console. Os jogos contidos nesta rom são: 1. UFO (A RENAMING OF U. S. GAME'S SPACE JOCKEY) 2. FLAG CAPTURE 3. HUMAN CANNONBALL 4. REVERSI (A RENAMING OF ATARI'S OTHELLO) 5. ACTIVISION'S CHECKERS 6. SLOT RACERS 7. BLACKJACK 8. FISHING (A GRAPHIC HACK OF ACTIVISION'S FISHING DERBY IN WHICH YOU ARE FISHING FOR CRABS) 9. FREEWAY RABBIT (A GRAPHIC HACK OF ACTIVISION'S FREEWAY IN WHICH YOU ARE A RABBIT) 10. SPACE WAR 11. FUN WITH NUMBERS 12. GOLF 13. 3-D TIC-TAC-TOE 14. SURROUND 15. MINIATURE GOLF 16. ACTIVISION'S BOXING 17. FOOTBALL 18. AIR-SEA BATTLE 19. FREEWAY CHICKEN (A RENAMING OF ACTIVISION'S FREEWAY) 20. ACTIVISION'S TENNIS 21. ACTIVISION'S SKIING 22. ACTIVISION'S FISHING DERBY 23. SKY DIVER 24. BOWLING 25. COMBAT 26. ACTIVISION'S STAMPEDE 27. ACTIVISION'S LASER BLAST 28. OUTLAW 29. SLOT MACHINE 30. BASKETBALL 31. HOME RUN 32. ANT PARTY (A RENAMING OF COMMAVID'S COSMIC SWARM)
Acid Drop (Europe)	Um jogo de blocos caindo, semelhante a colums. O objetivo do jogo é criar uma linha horizontal ou vertical de três ou mais blocos da mesma cor, que então desaparecerá. Os blocos restantes cairão, mas não desaparecerão, se forma uma outra linha. A cada 10.000 pontos um bloco especial aparecerá (a gota de ácido) que remove três colunas de blocos e marca o início do próximo nível.
Actionauts (USA) (Proto) (1984-06-22)	O objetivo do Actionauts é programar seu robô para executar uma série de comandos. Use o joystick para definir os controles para o robô percorrer um caminho. No Commodore 64, você pode alterar a grade para definir um caminho diferente, a programação é feita principalmente na mesma página e você pode escolher entre quatro designs de robô. No Atari 2600, basta escolher entre os labirintos predefinidos, a programação fica em uma segunda tela e você tentará atingir o objetivo.
Activision Decathlon, The (USA)	O Activision Decathlon é uma série de jogos olímpicos semelhantes à série de jogos Epyx. Até quatro jogadores podem competir nos dez eventos diferentes de um decatlo da vida real, em sequência ou individualmente. Incluem-se os 100 metros rasos, salto em distância, arremesso de peso, salto em altura, corrida de 400 metros, 110 metros com barreiras, lançamento de disco, salto com vara, lançamento de dardo e corrida de 1500 metros.
Adventure (USA)	Uma aventura gráfica onde você usa seu joystick para passear, coletando chaves para explorar castelos, labirintos e tudo o mais, enquanto mata qualquer coisa que se move (ou seja, dragões e outros) Para obter tesouros. O jogo tem 3 configurações de dificuldade: 1. Nível 1 (mais fácil) 2. Nível 2: o reino é maior que o nível 1, contendo salas secretas e itens ocultos para adicionar dificuldade. 3. Nível 3 (mais difícil): semelhante ao nível 2, mas todos os objetos / itens são colocados aleatoriamente em todo o reino. Jogabilidade gira em torno de pegar (e soltar) itens, cortando o seu caminho, encontrando as chaves para abrir os portões do castelo e usando a magia (ou seja, renascimento) no caso de você ser engolido.
