#key	name	year	genre	developer	players
A.P.B. (USA, Europe)	A.P.B.	1991	Racing, Driving	Quicksilver Software	1
Alien vs Predator (Europe) (Proto) (1993-12-17)	Alien vs Predator	1994	Shooter / FPV/Shooter	Rebellion	1
Awesome Golf (USA, Europe)	Awesome Golf	1991	Sports / Golf/Sports	Hand Made Software	1-4
Baseball Heroes (USA, Europe)	Baseball Heroes	1992	Sports / Baseball/Sports	Atari	1-2
Basketbrawl (USA, Europe)	Basketbrawl	1992	Sports / Basketball/Sports	Hamilton and Associates	1-2
Batman Returns (USA, Europe)	Batman Returns	1992	Beat'em Up	Atari	1
Battle Wheels (USA, Europe)	BattleWheels	1992	Racing, Driving	Beyond Games	1-6
Battlezone 2000 (USA, Europe)	Battlezone 2000	1994	Shooter	Hand Made Software	1-4
Bill & Ted's Excellent Adventure (USA, Europe)	Bill & Ted's Excellent Adventure	1991	Adventure	Atari	1-2
Block Out (USA, Europe)	Block Out	1991	Puzzle	P.Z.Karen	1
Blue Lightning (World)	Blue Lightning	1989	Shooter / Plane, TPV/Shooter	Epyx	1
Bubble Trouble (USA, Europe)	Bubble Trouble	1994	Shooter	Telegames	1
California Games (World)	California Games	1989	Sports / Multisports/Sports	Epyx	1-2
Centipede (USA) (Proto)	Centipede	1987	Shooter / Space Invaders Like/Shoot'em Up / Vertical/Shoot'em Up/Shooter	Shadowsoft	1
Checkered Flag (USA, Europe)	Checkered Flag	1991	Racing, Driving	Atari	1-6
Chip's Challenge (World)	Chip's Challenge	1989	Puzzle/Strategy	Epyx	1
Crystal Mines II (USA, Europe)	Crystal Mines II	1990	Puzzle	Color Dreams	1
Daemon's Gate (USA) (Proto 1)	Daemonsgate	1991	Role Playing Game	Imagitec Design	1
Desert Strike - Return to the Gulf (USA, Europe)	Desert Strike	1992	Shoot'em Up	Teque	1
Dinolympics (USA, Europe)	Dinolympics	1992	Puzzle/Strategy	Imagitec Design	1
Dirty Larry - Renegade Cop (USA, Europe)	Dirty Larry : Renegade Cop	1992	Beat'em Up	Atari	1
Double Dragon (USA, Europe)	Double Dragon	1993	Beat'em Up	Tecmo	1-2
Dracula - The Undead (USA, Europe)	Dracula The Undead	1991	Adventure	Hand Made Software	1
Electrocop (World)	Electrocop	1989	Puzzle/Adventure	Epyx	1
European Soccer Challenge (USA, Europe)	European Soccer Challenge	1993	Sports / Football (Soccer)/Sports	Krisalis Software	1-2
Eye of the Beholder (USA) (Proto 1)	Eye Of The Beholder	1993	Dungeon Crawler RPG/Role Playing Game	NuFX	1
Fat Bobby (USA, Europe)	Fat Bobby	1997	Platform	Telegames	1
Fidelity Ultimate Chess Challenge, The (USA, Europe)	The Fidelity Ultimate Chess Challenge	1991	Puzzle/Board game	Telegames	1-2
Full Court Press (USA) (Proto)	Full Court Press	1992	Sports / Basketball/Sports	Ringler	1
Gates of Zendocon (World)	Gates Of Zendocon	1989	Shoot'em Up / Horizontal/Shoot'em Up	Epyx	1
Gauntlet - The Third Encounter (World)	Gauntlet : The Third Encounter	1990	Adventure/Action	Epyx	1-4
Gordo 106 (USA, Europe)	Gordo 106	1993	Platform/Adventure	Atari	1-4
Guardians, The - Storm Over Doria (USA) (Proto 1)	The Guardians : Storm Over Doria	1992	Action RPG/Role Playing Game/Adventure / Graphic/Adventure	Telegames	1
Hard Drivin' (USA, Europe)	Hard Drivin'	1991	Racing, Driving	NuFX	1-4
Hockey (USA, Europe)	Hockey	1992	Sports / Hockey/Sports	Atari	1-2
Hydra (USA, Europe)	Hydra	1992	Racing, Driving	NuFX	1
Ishido - The Way of Stones (USA, Europe)	Ishido : The Way of Stones	1991	Board game	California Dreams	1
