#name	crc	size	key
3D Barrage (World) (Beta)	a90d3629	131072	Robo-Squash (World)
A.P.B. (USA, Europe)	f6fb48fb	262144	A.P.B. (USA, Europe)
Alien vs Predator (Europe) (Proto) (1993-12-17)	540e9bb7	262144	Alien vs Predator (Europe) (Proto) (1993-12-17)
Awesome Golf (USA, Europe)	0483cd2a	262144	Awesome Golf (USA, Europe)
Baseball Heroes (USA, Europe)	3943c116	262144	Baseball Heroes (USA, Europe)
Basketbrawl (USA, Europe)	4161bb4a	131072	Basketbrawl (USA, Europe)
Batman Returns (USA, Europe)	277f82c2	262144	Batman Returns (USA, Europe)
Batman Returns (USA, Europe) (Rev 1) (Proto)	5b5795a8	262144	Batman Returns (USA, Europe)
Battle Wheels (USA, Europe)	779faece	131072	Battle Wheels (USA, Europe)
Battlezone 2000 (USA, Europe)	30fee726	262144	Battlezone 2000 (USA, Europe)
Bill & Ted's Excellent Adventure (USA, Europe)	143a313e	262144	Bill & Ted's Excellent Adventure (USA, Europe)
Block Out (USA, Europe)	3cd75df3	131072	Block Out (USA, Europe)
Blue Lightning (World)	daf587b1	131072	Blue Lightning (World)
Blue Lightning (World) (Beta) (1989-06-02)	abf22530	131072	Blue Lightning (World)
Blue Lightning (World) (Demo)	bfe36525	131072	Blue Lightning (World)
Bubble Trouble (USA, Europe)	333daece	262144	Bubble Trouble (USA, Europe)
Cabal (USA) (Demo)	f8158766	262144	Cabal (USA) (Demo)
California Games (World)	a08f0b59	131072	California Games (World)
California Games (World) (Beta)	14c01e5f	131072	California Games (World)
Centipede (USA) (Proto)	97501709	131072	Centipede (USA) (Proto)
Checkered Flag (USA, Europe)	19c5a7a5	262144	Checkered Flag (USA, Europe)
Chip's Challenge (World)	6a5f53ed	131072	Chip's Challenge (World)
Crystal Mines II (USA, Europe)	aec474c8	131072	Crystal Mines II (USA, Europe)
Daemon's Gate (USA) (Proto 1)	99729395	262144	Daemon's Gate (USA) (Proto 1)
Daemon's Gate (USA) (Proto 2)	ef529ed4	262144	Daemon's Gate (USA) (Proto 1)
Desert Strike - Return to the Gulf (USA, Europe)	b9ac1fe5	262144	Desert Strike - Return to the Gulf (USA, Europe)
Dinolympics (USA, Europe)	50386cfa	262144	Dinolympics (USA, Europe)
Dirty Larry - Renegade Cop (USA, Europe)	d565fbb7	262144	Dirty Larry - Renegade Cop (USA, Europe)
Double Dragon (USA, Europe)	fbfc0f05	262144	Double Dragon (USA, Europe)
Dracula - The Undead (USA, Europe)	33bb74c7	262144	Dracula - The Undead (USA, Europe)
Electrocop (World)	bd97116b	131072	Electrocop (World)
European Soccer Challenge (USA, Europe)	f83397f9	131072	European Soccer Challenge (USA, Europe)
Eye of the Beholder (USA) (Proto 1)	6bceaa9c	131072	Eye of the Beholder (USA) (Proto 1)
Fat Bobby (USA, Europe)	9034ee27	262144	Fat Bobby (USA, Europe)
Fidelity Ultimate Chess Challenge, The (USA, Europe)	7e4b5945	131072	Fidelity Ultimate Chess Challenge, The (USA, Europe)
Fidelity Ultimate Chess Challenge, The (USA, Europe) (Beta)	fd65ee0d	131072	Fidelity Ultimate Chess Challenge, The (USA, Europe)
Full Court Press (USA) (Proto)	ff9e0126	262144	Full Court Press (USA) (Proto)
Gates of Zendocon (World)	494cc568	131072	Gates of Zendocon (World)
Gates of Zendocon (World) (Beta) (1989-06-01)	88871760	131072	Gates of Zendocon (World)
Gauntlet - The Third Encounter (World)	7f0ec7ad	131072	Gauntlet - The Third Encounter (World)
Gauntlet - The Third Encounter (World) (Beta) (1990-01-12)	41f5de73	131072	Gauntlet - The Third Encounter (World)
Gauntlet - The Third Encounter (World) (Beta) (1990-06-04)	dcd723e3	131072	Gauntlet - The Third Encounter (World)
Gemquest (World) (Beta)	8302c463	131072	Gauntlet - The Third Encounter (World)
Geoduel (USA) (Demo)	bd4bf2b0	262144	Geoduel (USA) (Demo)
Gordo 106 (USA, Europe)	d20a85fc	262144	Gordo 106 (USA, Europe)
Guardians, The - Storm Over Doria (USA) (Proto 1)	0e335aa8	262144	Guardians, The - Storm Over Doria (USA) (Proto 1)
Guardians, The - Storm Over Doria (USA) (Proto 2)	8f0e72c6	262144	Guardians, The - Storm Over Doria (USA) (Proto 1)
Hard Drivin' (USA, Europe)	6df63834	131072	Hard Drivin' (USA, Europe)
Hockey (USA, Europe)	e8b45707	262144	Hockey (USA, Europe)
Hydra (USA, Europe)	e3041c6c	262144	Hydra (USA, Europe)
Hydra (USA, Europe) (Beta)	793620c2	262144	Hydra (USA, Europe)
Ishido - The Way of Stones (USA, Europe)	5cf8bbf0	131072	Ishido - The Way of Stones (USA, Europe)
Jimmy Connors' Tennis (USA, Europe)	2455b6cf	524288	Jimmy Connors' Tennis (USA, Europe)
Joust (USA, Europe)	5dba792a	131072	Joust (USA, Europe)
Klax (World)	a53649f1	262144	Klax (World)
Klax (World) (Beta 1)	4d5d94f4	262144	Klax (World)
Klax (World) (Beta 2) (1990-05-22)	be3ac828	131072	Klax (World)
Klax (World) (Beta 3) (1990-07-09)	1c42d958	262144	Klax (World)
Krazy Ace - Miniature Golf (USA, Europe)	bed5ba2b	262144	Krazy Ace - Miniature Golf (USA, Europe)
Kung Food (USA, Europe)	cd1bd405	262144	Kung Food (USA, Europe)
Lemmings (USA, Europe)	39b9b8cc	262144	Lemmings (USA, Europe)
Loopz (USA) (v0.04) (Proto) (1992-09-16)	d2b07d4d	262144	Loopz (USA) (v0.04) (Proto) (1992-09-16)
Loopz (USA) (v0.06) (Proto) (1992-11-05)	b1c25ef1	262144	Loopz (USA) (v0.04) (Proto) (1992-09-16)
Lynx Casino (USA, Europe)	1091a268	262144	Lynx Casino (USA, Europe)
Lynx II Production Test Program (USA)	28ada019	262144	Lynx II Production Test Program (World) (v0.01)
Lynx II Production Test Program (World) (v0.01)	c7652c5d	262144	Lynx II Production Test Program (World) (v0.01)
Malibu Bikini Volleyball (USA, Europe)	aba6da3d	262144	Malibu Bikini Volleyball (USA, Europe)
Malibu Bikini Volleyball (USA, Europe) (Beta) (1993-05-11)	4329084a	262144	Malibu Bikini Volleyball (USA, Europe)
Marlboro Go! (Europe) (Proto 1)	b17a36ad	262144	Marlboro Go! (Europe) (Proto 1)
Marlboro Go! (Europe) (Proto 2)	c3fa0d4d	262144	Marlboro Go! (Europe) (Proto 1)
Ms. Pac-Man (World)	7de3783a	131072	Ms. Pac-Man (World)
NFL Football (USA, Europe)	006fd398	262144	NFL Football (USA, Europe)
Net Runner (World) (Beta)	29e6ca48	131072	Electrocop (World)
Ninja Gaiden (USA, Europe)	22d47d51	262144	Ninja Gaiden (USA, Europe)
Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe)	f3e3f811	524288	Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe)
