#key	style	ss_system_id
A.P.B. (USA, Europe)	box-3D	28
Alien vs Predator (Europe) (Proto) (1993-12-17)	box-3D	28
Awesome Golf (USA, Europe)	box-3D	28
Baseball Heroes (USA, Europe)	box-3D	28
Basketbrawl (USA, Europe)	box-3D	28
Batman Returns (USA, Europe)	box-3D	28
Battle Wheels (USA, Europe)	box-3D	28
Battlezone 2000 (USA, Europe)	box-3D	28
Bill & Ted's Excellent Adventure (USA, Europe)	box-3D	28
Block Out (USA, Europe)	box-3D	28
Blue Lightning (World)	box-3D	28
Bubble Trouble (USA, Europe)	box-3D	28
California Games (World)	box-3D	28
Centipede (USA) (Proto)	box-3D	28
Checkered Flag (USA, Europe)	box-3D	28
Chip's Challenge (World)	box-3D	28
Crystal Mines II (USA, Europe)	box-3D	28
Daemon's Gate (USA) (Proto 1)	box-3D	28
Desert Strike - Return to the Gulf (USA, Europe)	box-3D	28
Dinolympics (USA, Europe)	box-3D	28
Dirty Larry - Renegade Cop (USA, Europe)	box-3D	28
Double Dragon (USA, Europe)	box-3D	28
Dracula - The Undead (USA, Europe)	box-3D	28
Electrocop (World)	box-3D	28
European Soccer Challenge (USA, Europe)	box-3D	28
Eye of the Beholder (USA) (Proto 1)	box-3D	28
Fat Bobby (USA, Europe)	box-3D	28
Fidelity Ultimate Chess Challenge, The (USA, Europe)	box-3D	28
Full Court Press (USA) (Proto)	mixrbv2	28
Gates of Zendocon (World)	box-3D	28
Gauntlet - The Third Encounter (World)	box-3D	28
Gordo 106 (USA, Europe)	box-3D	28
Guardians, The - Storm Over Doria (USA) (Proto 1)	box-3D	28
Hard Drivin' (USA, Europe)	box-3D	28
Hockey (USA, Europe)	box-3D	28
Hydra (USA, Europe)	box-3D	28
Ishido - The Way of Stones (USA, Europe)	box-3D	28
Jimmy Connors' Tennis (USA, Europe)	box-3D	28
Joust (USA, Europe)	box-3D	28
Klax (World)	box-3D	28
Krazy Ace - Miniature Golf (USA, Europe)	box-3D	28
Kung Food (USA, Europe)	box-3D	28
Lemmings (USA, Europe)	box-3D	28
Loopz (USA) (v0.04) (Proto) (1992-09-16)	box-3D	28
Lynx Casino (USA, Europe)	box-3D	28
Malibu Bikini Volleyball (USA, Europe)	box-3D	28
Marlboro Go! (Europe) (Proto 1)	box-3D	28
Ms. Pac-Man (World)	box-3D	28
NFL Football (USA, Europe)	box-3D	28
Ninja Gaiden (USA, Europe)	box-3D	28
Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe)	box-3D	28
Pac-Land (USA, Europe)	box-3D	28
Paperboy (World)	box-3D	28
Pinball Jam (USA, Europe)	box-3D	28
Pit-Fighter (USA, Europe)	box-3D	28
Poker (Europe) (Fr) (Proto)	mixrbv2	28
Pounce! (USA) (Proto)	mixrbv2	28
Power Factor (USA, Europe)	box-3D	28
QIX (USA, Europe)	box-3D	28
Raiden (USA) (Beta)	box-3D	28
Rampage (World)	box-3D	28
Rampart (USA, Europe)	box-3D	28
Road Riot 4WD (USA) (Proto 1)	box-3D	28
RoadBlasters (World)	box-3D	28
Robo-Squash (World)	box-3D	28
Robotron 2084 (USA, Europe)	box-3D	28
Rolling Thunder (USA) (Proto)	mixrbv2	28
Rygar (World)	box-3D	28
S.T.U.N. Runner (USA, Europe)	box-3D	28
Scrapyard Dog (USA, Europe)	box-3D	28
Shadow of the Beast (USA, Europe)	box-3D	28
Shanghai (World)	box-3D	28
Steel Talons (USA, Europe)	box-3D	28
Super Asteroids, Missile Command (USA, Europe)	box-3D	28
Super Off-Road (USA, Europe)	box-3D	28
Super Skweek (USA, Europe)	box-3D	28
Switchblade II (USA, Europe)	box-3D	28
Todd's Adventures in Slime World (World)	box-3D	28
Toki (USA, Europe)	box-3D	28
Tournament Cyberball (USA, Europe)	box-3D	28
Turbo Sub (USA, Europe)	box-3D	28
Viking Child (USA, Europe)	box-3D	28
Vindicators (USA) (Proto 2)	box-3D	28
Warbirds (USA, Europe)	box-3D	28
World Class Soccer (USA, Europe)	box-3D	28
Xenophobe (World)	box-3D	28
Xybots (USA, Europe)	box-3D	28
Zarlor Mercenary (World)	box-3D	28
