#key	synopsis
A.P.B. (USA, Europe)	You are police officer Bob, whose aim is to apprehend a certain quota of criminals (litterbugs, speeders and the like) each day. This is done by chasing them and sounding your siren at them - in some cases they will need ramming off the road. There are also hardened criminals to catch - if you can get one of these to confess, your day's work is considered done. The game's action is presented with an overhead view of your squad car. Car upgrades are available, to be brought from your reward money. You earn Demerits by crashing, wrongly arresting innocents, or failing to meet your quota. Too many demerits and it is game over.
Alien vs Predator (Europe) (Proto) (1993-12-17)	Choose your weapon and brawl with the notorious warriors of the big screen! Commission the Colonial Marine and use your weapons and your wits to destroy the base--and survive. Be an Alien and use your voracious instincts to defend the hive and rescure your Queen. Or play a Predator and use your grisly arsenal to acquire the ultimate trophy...the skull of the Alien Queen.
Awesome Golf (USA, Europe)	Awesome Golf is as the name suggests, a golf simulator. There are 3 courses to play one in the U.K one in the U.S and the third one in Japan. The gameplay involves you lining up your shot via an overhead view which when set up switches to a third person view. Whilst in this view you need to swing the club and stop it at the desired power and then stop it on the correct symbol to get the perfect hit. If you don't get it right you will either miss the ball or hit the earth. There are 14 clubs at your disposal, 8 irons, 3 woods 2 wedges and a putter which are selected by moving the hand cursor over you Golf bag and selecting the desired club.
Baseball Heroes (USA, Europe)	Hit, run, dive, jump, catch and throw. Pitch for the strikeout record and swing for the fences! Play baseball against the Lynx or take on a friend. Four different games with super graphics!
Basketbrawl (USA, Europe)	In a desperate attempt to stop inner-city gang wars, the city leaders organized a basketball league. The league is scheduled to play on three courts: a street, a junkyard, and a rooftop. The mayor figured that a friendly game of hoops would be a much more peaceful way to settle disputes. He was wrong. You can choose 1-on-1 or 2-on-2 game modes. There are six characters to choose from (ten in Atari Lynx version); each with their own health, speed, and power attributes. Each player without the ball can jump to block a shot or punch there opponent to get the ball. There's also an option to perform a power throw on an opposing player. Players with the ball can shoot or pass. Power ups appear on the court at random instances. These power up one attribute for the player. For example, the lightning power up increases the player's speed. The referee does not call fouls, but does hurl knives at the players.
Batman Returns (USA, Europe)	Atari themselves adapted the 1992 superhero sequel Batman Returns for their Lynx handheld as a side-scrolling beat'em'up. Batman must move through four levels on his quest to stop the Penguin and Catwoman. Enemies trying to stop him include circus clowns on the streets, policemen (whom Catwoman put on his trail) on the roofs of Gotham City, and penguin commandos in the sewers and the Penguin's lair. Batman can beat them up with his fists or destroy them using Batarangs and acid vials (which must be collected first). Several of the levels end in boss encounters with the two main villains, while in the last level, Batman must also save industrialist Max Shreck from the Penguin's wrath before finishing him off.
Battle Wheels (USA, Europe)	In the year 2019, Humankind turned to more and more dangerous games for its entertainment. Fight in high-tech cars armed with missiles, machine guns, flame-throwers, and more through dead cities and desert wastelands; a sixteen arena battle royal! Fight as a team or go solo! Custom build your car from the ground up or buy one from the Bodyshop. You can even go in on foot! Fast paced 3-D six player action like you've never seen before! Welcome to the World of BattleWheels.
Battlezone 2000 (USA, Europe)	In this game you play the role of a tank commander who is fighting in a future war in the 21st century. The game is an update on the classic arcade game Battlezone and stays true to the original in terms of gameplay. The gameplay involves you driving round a landscape destroying enemy tanks and U.F.O.s whilst trying not to run out of fuel and also not getting destroyed yourself though luckily there are fuel pick-ups and power-ups to collect. You can also use the credits earned for completing missions to upgrade your tank. There are also a few different tanks to choose from including the Rhino which is heavily armoured but runs out of fuel faster than the other tanks.
Bill & Ted's Excellent Adventure (USA, Europe)	The Lynx title based on the Keanu Reeves/Alex Winter film franchise actually takes place after the second film, Bill and Ted's Bogus Journey. Out for revenge after being humiliated by the high-school duo, Death kidnaps their &quot;medieval babe&quot; girlfriends from the first film, and drags them throughout history. Luckily, the girls are able to leave behind pages of the band's latest song as a trail for Bill and Ted to follow. Playing as either Bill or Ted (with a friend able to take control of the other character over ComLynx), the player must search historical periods in an overhead perspective and collect enough musical notes to open travel to a new area. Along the way, they can encounter historical figures who will offer assistance in return for a favor. Bad guys do populate the levels, but can be pacified with a rippin' guitar solo. If Bill or Ted are defeated, they simply reappear back at the last checkpoint. Other items can be found and collected in an inventory. The Lynx title makes use of the series' interesting take on the time continuum, allowing the player to leave items for themselves in the past to collect and use in the future. Likewise, if the player happens upon a sudden fortuitous item that &quot;they&quot; left, they must remember to go and leave the item in the past themselves to avoid creating a time paradox. This quirky view of time forms the basis of many of the game's puzzles. A password system is constantly updated (viewable at the pause screen) to save the player's progress.
Block Out (USA, Europe)	Block Out is a Tetris variant with an added twist: it's in 3D. The player can rotate the blocks in 3D in order to fit them into the pit they are being guided into. Advanced users can play this game with odd three-dimensional pieces, or change the size of the pit, for depth of between 6 and 18 piles, and width and length of between 3 and 7.
Blue Lightning (World)	The insanely evil General Drako is spreading his own special blend of spite and chaos around the globe. You are a top fighter pilot for the UN's Blue Lightning squad. You have to travel from continent to continent, and end Drako's plans at each stop using your awesome flight skills. Blue Lightning is a 3D flight game featuring 7 real-life fighter jets. There are several types of missions, including dogfights, ground targets, and escorts. Your arsenal consists of various cannons, missiles, and special bombs. The game can be played either from a behind-the-plane perspective, or an in-cockpit perspective.
Bubble Trouble (USA, Europe)	You are Travis, a scientist doing experiments with dense matter for the creation of artificial black holes for interstellar travel. While testing a piece of equipment, you are transported into a bubble world. Fortunately, a friendly denizen decides to help you. You must locate the correct type of radioactive particles to move from world to world and finally home, before the hostile denizens of these worlds burst your bubble.
California Games (World)	California Games was the original &quot;Extreme Games&quot; – what today's generation might call &quot;X-Games in the sun&quot;. Players can select sponsors (absent in some versions) and compete in events such as skateboarding, footbag, surfing, roller skating, flying disc (frisbee) and BMX. The surfing event is ranked by judges, which give a score to help the players improve their routine. The Atari versions (2600 and Lynx) of the game omit the flying disc and roller skating events, while the Genesis version omits only the flying disc event.
Centipede (USA) (Proto)	Hundreds and thousands of them. Creepy ones. Crawly ones. Buzzing ones. Swarming ones. And they're all trying to get you. Before you get them.
Checkered Flag (USA, Europe)	Checkered Flag brought the excitement of formula-style open-wheel racing to the Atari Lynx handheld console. Race on 18 unique tracks, in practice, single heat, or tournament modes. Options include customizing the length of the race, number of opponents, colour of the car, and sex of the driver.
Chip's Challenge (World)	Nerdy Chip desperately wants to join the &quot;Bit Busters&quot; computer club, led by Melinda the Mental Marvel. However, before she'll let him in, he must prove his intelligence by passing the initiation test. 149 increasingly difficult levels, including a few hidden ones, await Chip in this tile-based puzzle game. Use tools such as keys, and special shoes to bypass obstacles. Manipulate switches to and use dirt blocks to build bridges across waterways. Avoid enemy creatures, grab all the computer chips in the level, and hurry to the exit: On top of everything else, there's a time limit!
Crystal Mines II (USA, Europe)	Great treasure still lies deep in the abandoned Crystal Mines. But over the years, underground demons have made them deadly. Guide your robot through the mines, destroying demons and gathering great wealth. Or fail, and become history.
Daemon's Gate (USA) (Proto 1)	Daemonsgate is a Role-Playing game, published by Electronic Innovative Design, which was cancelled before it was released.
Desert Strike - Return to the Gulf (USA, Europe)	The first game in the Strike series. A year after the Gulf War, a self-styled general named Kilbaba (Muababa in the GBA version) takes over an Arab Emirate and threatens to start World War III against his western enemy, the United States. The whole world holds its breath as the President has chosen you to destroy Kilbaba and his terrorist army before he launches a nuclear attack on the world! You must fly a specially designed AH-64A Apache on a series of missions to rescue missing-in-action characters, destroy power plants, blow apart SCUD missiles, etc. to take out the enemy defense while trying to find out Kilbaba's plans.
Dinolympics (USA, Europe)	Come back to the dawn of history in this combination of puzzling problems, awesome adventures, and mind-bending mazes. The survival of your race is at stake!
Dirty Larry - Renegade Cop (USA, Europe)	He's the baddest of the good guys. He's Dirty Larry - Renegade Cop. Mr. Big's Gang is determined to end his career for good--if his own Captain doesn't do it first! So take to the streets in a hurry. It's time for a little house cleaning!
