#key	synopsis
A.P.B. (USA, Europe)	En este juego de arcade real, usted y el oficial Bob deben buscar y atrapar a los perpetradores que se han involucrado en actividades criminales tan atroces como tirar basura, exceso de velocidad y otras formas de mala conducta demasiado despreciables para mencionarlas. Pero mientras estés ahí fuera, patrullando las calles en el coche de policía del oficial Bob, ¡no te olvides de repostar! Pasa por tu amistosa tienda de donuts del vecindario y gana tiempo extra. Hay transeúntes y vehículos inocentes en la A.P.B. Si golpeas uno, recibes deméritos.
Alien vs Predator (Europe) (Proto) (1993-12-17)	¡Elige tu arma y lucha con los célebres protagonistas de la película! Ponte en la piel de los marines y usa tus armas y tu ingenio para destruir la base... y sobrevivir. Sé un Alien y usa tus voraces instintos para defender la colmena y rescatar a tu Reina. O juega a ser un Depredador y utiliza tu espeluznante arsenal para hacerte con el trofeo definitivo... el cráneo de la Reina Alien.
Awesome Golf (USA, Europe)	Estás en el tee 18, un golpe detrás del campeón defensor. ¿Aceptas el consejo de tu caddie y juegas seguro, o te arriesgas con el agua? Awesome Golf proporciona un gran realismo y un desafío para uno a cuatro jugadores.
Baseball Heroes (USA, Europe)	Golpea, corre, bucea, salta, atrapa y lanza. ¡Lanzar para el récord de strikeout y balancearse para las vallas! Juega al béisbol contra el lince o enfréntate a un amigo. ¡Cuatro juegos diferentes con súper gráficos!
Basketbrawl (USA, Europe)	¡Vinnie y Slash están sangrando por las heridas de cuchillo y el árbitro está fuera de combate! No es de extrañar que los miembros de la banda apodaran a este juego &quot;Basketbrawl&quot;. Para ellos no es un juego... ¡es una pelea callejera!
Batman Returns (USA, Europe)	Gotham City está en un problema desesperado otra vez. ¡Catwoman y el Pingüino se han unido para aterrorizar a toda la metrópolis! Sólo tú puedes ayudar a Batman a frustrar sus planes mortales y salvar a la ciudad de sus diabólicas garras.
Battle Wheels (USA, Europe)	En el año 2019, la humanidad se volvió hacia juegos cada vez más peligrosos para su entretenimiento. Lucha en coches de alta tecnología armados con misiles, ametralladoras, lanzallamas, y más a través de ciudades muertas y terrenos baldíos del desierto; ¡una batalla de dieciséis arenas reales! Lucha en equipo o en solitario! Construye tu coche desde cero o cómprate uno en el taller. Incluso puedes ir a pie! Acción rápida en 3-D para seis jugadores como nunca antes has visto!
Battlezone 2000 (USA, Europe)	2005 D.C. Un virus mortal ha infectado los sistemas informáticos ultra sofisticados del Supertanque, volviendo estas poderosas armas de destrucción contra sus creadores. La humanidad está al borde de la extinción. ¡Libera las zonas de batalla de esta plaga robótica!
Bill & Ted's Excellent Adventure (USA, Europe)	Bill y Ted están a punto de embarcarse en su más excelente aventura a través del tiempo y el espacio. Esas dos hermosas nenas de la Inglaterra medieval, Joanna y Elizabeth, han sido secuestradas por la más atroz Parca. Bill y Ted deben usar los circuitos del tiempo para encontrar a las princesas. ¿Serán los más triunfantes? ¡Sólo tú puedes ayudar!
Block Out (USA, Europe)	Block Out es una variante del Tetris con un giro añadido: está en 3D. El jugador puede rotar los bloques en 3D para que encajen en el pozo en el que están siendo guiados. Los usuarios avanzados pueden jugar este juego con piezas tridimensionales extrañas, o cambiar el tamaño del pozo, para una profundidad de entre 6 y 18 montones, y un ancho y largo de entre 3 y 7.
Blue Lightning (World)	El Comando de Vuelo te eligió para volar el avión de combate de alto secreto Blue Lightning en su primer vuelo. Terminaste último en la escuela de vuelo, así que no tienen nada que perder. Los rastros de humo advierten de los misiles enemigos que se acercan. Unas cuantas vueltas rápidas de barril y evitarás los misiles. ¡Ahora aquí vienen los jets! Con los cañones ardiendo, vuelan hacia el grueso de la formación enemiga. Si logras completar nueve misiones cruciales que combinan la acción explosiva del combate con el sigilo del vuelo nocturno, serás un héroe. Si fallas, nadie recordará tu nombre.
