#key	synopsis
California Games (World)	CALIFORNIA GAMES é um teste de habilidade para um ou mais jogadores, até um máximo de oito. O objectivo é ganhar troféus em cada evento, com excepção do troféu para o melhor desempenho global. Há vários eventos desportivos: Half Pipe Skate, Foot Bag, Surf, BMX Bike Racing. Pode treinar ou competir num único evento, competir em todos os eventos, ou mesmo realizar uma competição com os eventos da sua escolha. Cada jogador escolhe um patrocinador para a competição. Será julgado em cada evento, e eles manterão um registo dos seus totais. Os troféus são atribuídos aos melhores. Se estabelecer um novo recorde num evento, o seu nome será gravado e exibido no quadro de honra. Tente tornar-se o campeão da Califórnia!
Checkered Flag (USA, Europe)	Checkered Flag coloca você no banco de um motorista de carro de corrida de Fórmula 1! Escolha entre 18 pistas de alta velocidade, três transmissões diferentes e uma corridas de calor único. Dirija a toda velocidade e desafie até cinco de seus amigos, entre na competições de grande porte!
Chip's Challenge (World)	Chip McCallahan é um nerd que gostaria de ser aceite no clube de informática &quot;Bit Busters&quot;, presidido por Melinda, uma maravilha de inteligência. Mas para entrar no clube, tem de provar a sua inteligência passando um teste de iniciação, resolvendo as provas que compõem os vários tabuleiros do jogo (até 149, consoante a versão). O Chip terá de recolher todas as fichas electrónicas de cada nível antes de poder retirar o &quot;socket&quot; que bloqueia a saída. Para isso, terá de calcular a ordem das suas acções, abrir portas apanhando a chave certa, empurrar blocos para bloquear passagens ou criar outras, utilizar o acessório certo para aceder a zonas mortíferas ou intransponíveis (escudo azul para a água, vermelho para o fogo, grampos para andar no gelo, íman para resistir a campos magnéticos...). Os primeiros níveis são um tutorial e a dificuldade aumenta rapidamente.
Fat Bobby (USA, Europe)	Fat Bobby é um jogo de plataforma bidimensional para Luchs. Tocas como o roqueiro Bobby e tens de fugir da massa de inimigos que te querem deter! Use a sua guitarra para esmagar os crânios e abrir caminho através dos níveis do jogo!
Ishido - The Way of Stones (USA, Europe)	Apresentando Ishido, o antigo e intrincado Game of the Stones. Você deve colocar pedras no tabuleiro do jogo, combinando cores e padrões de acordo com regras seculares. Isso exige grande habilidade e concentração - mas se você pode desbloquear o segredo do Oracle, sua sabedoria irá ajudá-lo!
Pit-Fighter (USA, Europe)	Pit-Fighter é um jogo de luta em terceira pessoa que apresenta gráficos digitalizados de lutadores reais e efeitos de zoom. Os jogadores selecionam um dos três lutadores (Buzz, Ty ou Kato) para enfrentar qualquer um que ousar. Ao final de uma partida, os jogadores recebem individualmente um Bônus de Nocaute, Bônus de Brutalidade e uma Bolsa de Luta. Cada terceira partida é a &quot;Grudge Match&quot;, onde os jogadores testam as habilidades uns dos outros. O último homem em pé é o vencedor desta partida de três knockdowns. Os jogadores abrem caminho para a Elimination Match para decidir quem ganha a oportunidade de destronar o campeão, o Masked Warrior.
Rampage (World)	George, Lizzy e Ralph eram apenas americanos comuns, até que um experimento deu errado, transformando-os em gorila, lagarto e lobisomem, respectivamente. Depois disso, os três planejam dar a volta na destruição de prédios, e até 3 jogadores humanos podem entrar. Esmagar nas bordas dos prédios por tempo suficiente fará com que desmoronem. A polícia e os militares estão atrás de você, e atirarão em você, então tente destruí-los (se não conseguir, você pode evitar as balas). Você precisará comer regularmente, com coisas como plantas em oferta, para evitar voltar a ser humano.
Steel Talons (USA, Europe)	Steel Talons trouxe o combate de helicóptero orientado para o realismo para os fliperamas e, mais tarde, para os sistemas domésticos. A ação é vista por trás do seu helicóptero, com o mundo do polígono 3D girando ao seu redor, abrangendo montanhas, rios e desertos. Existem 12 missões no total, cada uma das quais requer que você destrua alvos em um determinado limite de tempo. Existem também modos de treinamento e mano a mano (contra um drone controlado por CPU). Você tem um número limitado de mísseis direcionados automaticamente, bem como um canhão. Um mapa de rastreamento informa onde você está no nível e onde estão os inimigos. O contato com o solo, montanhas ou outros veículos danificará ou destruirá seu helicóptero.
Super Skweek (USA, Europe)	Super Skweek é um jogo inspirado no enorme sucesso do Desafio do Chip, e partilha alguns elementos desse puzzle enquanto combina outros elementos de jogos como o Pengo. Na Super Skweek, joga-se como Skweek que deve andar por aí e ou pintar todos os azulejos do tabuleiro cor-de-rosa, completar uma missão específica, ou ambos. Alguns azulejos reagem de formas diferentes quando se pisam neles, por exemplo, explodem. Ao contrário de Chip's Challenge, o jogo é jogado em tempo real e pode pegar e usar armas para afastar certos monstros enquanto se pinta os azulejos. Há também uma loja onde se podem comprar artigos. Os níveis têm um limite de tempo.
Switchblade II (USA, Europe)	Sois Hiro, tendes de derrotar mais uma vez o senhor Havok ninja. Usando shurikens e outras armas (faca, mísseis, raio laser, lança-chamas...), tem de derrotar os capangas de Havok para o alcançar. Switchblade II é uma plataforma de rolagem lateral e apresenta seis níveis infestados de inimigos mecanoides revestidos de metal. Um aspecto chave do jogo é obter moedas de inimigos derrotados, que podem ser trocadas em lojas por vidas extra, energia e armas. Os gráficos têm um estilo muito japonês, semelhante ao mangá.
Toki (USA, Europe)	As mãos de Bashtar arrancaram Moho à sua amada Toki. Toki não está melhor: foi transformado num macaco pelo feiticeiro Vookimedlo. Toki tem agora de salvar o seu amor e encontrar uma forma de se transformar novamente num homem. Toki tem vários níveis: o labirinto de grutas, o lago Neptuno, as grutas de fogo, o palácio de gelo, a selva escura, o palácio de ouro... O principal ataque de Toki contra os seus inimigos é cuspir-lhes, mas também pode saltar sobre eles para os derrotar. O cuspo normal de Toki pode ser transformado numa rajada de fogo se encontrares o item certo. Outros objectos incluem um capacete de futebol que protege temporariamente Toki, sapatos de salto em altura, relógios que aumentam o tempo, moedas que aumentam o número de vidas, etc.
Viking Child (USA, Europe)	Um &quot;cartoon side-scroller&quot; em que jogas, como o título sugere, como um rapaz viking, na sua missão de libertar os seus amigos e família, presos pelo malvado deus Loki nos grandes salões de Valhalla. Luta através de 16 níveis de cenários variados, incluindo castelos medievais e montanhas. Os níveis estão repletos de lojas onde podes comprar poções e outros itens mágicos para te ajudar a avançar. Antes de enfrentares o Senhor das Trevas Loki, tens de derrotar os 8 Aprendizes das Trevas. No geral, este é um excelente híbrido de plataforma/puzzle que deve agradar a todos os fãs do género, especialmente devido à extensão dos níveis que terás de percorrer.
Xenophobe (World)	Um pedido de socorro é recebido das estações espaciais que orbitam o teu planeta e depois há silêncio. Uma única nave escapa, pilotada por um homem maltratado que conta a história de cápsulas que eclodem em xenos que cospem ácido. Um pequeno grupo de engenheiros foi enviado para combater a ameaça xenófoba antes que ela tome conta de todas as estações espaciais e, por fim, do teu planeta. Reúne o teu grupo de engenheiros e luta contra os xenos em cada estação, tentando eliminá-la ou abandoná-la. Começas com um laser normal, mas podes adquirir armas adicionais à medida que as encontras, incluindo phasers, pistolas de raios, pistolas Poofer e bombas.
