#key	name	year	genre	developer	players
Aircars (USA) (Beta) (1994-11-14)	Air Cars	1997	Racing, Driving	Midnite Entertainment Group	1-8
Alien vs Predator (World)	Aliens Versus Predator	1994	Shooter / FPV/Shooter	Rebellion	1
Atari Karts (World)	Atari Karts	1995	Racing, Driving	Miracle Designs	1-2
Attack of the Mutant Penguins (World)	Attack of the Mutant Penguins	1995	Puzzle	Sunrise Software	1
Barkley Shut Up and Jam (USA) (Beta)	Barkley : Shut Up and Jam!	1994	Sports / Basketball/Sports	Accolade	1-4
Breakout 2000 (USA, Europe)	Breakout 2000	1996	Action / Breakout games/Action	MP Games	1-2
Brutal Sports Football (World)	Brutal Sports Football	1994	Sports / Football (American)/Sports	Teque	1-2
Bubsy in Fractured Furry Tales (World)	Bubsy in Fractured Furry Tales	1994	Platform	Imagitec Design	1-2
Cannon Fodder (World)	Cannon Fodder	1995	Strategy	The Dome Software Developments	1
Checkered Flag (World)	Checkered Flag	1994	Racing, Driving	Rebellion	1
Club Drive (World)	Club Drive	1994	Racing, Driving	Atari	1-2
Cybermorph (World) (Rev B)	Cybermorph	1993	Shooter	Attention To Detail (ATD)	1
Defender 2000 (World)	Defender 2000	1996	Shoot'em Up	Llamasoft	1-2
Doom (World)	Doom	1994	Shooter / FPV/Shooter	id Software	1-2
Double Dragon V - The Shadow Falls (World)	Double Dragon V : The Shadow Falls	1995	Fighting	Telegames	1-2
Dragon - The Bruce Lee Story (World)	Dragon : The Bruce Lee Story	1994	Fighting	Virgin Interactive	1-2
Evolution - Dino Dudes (World)	Evolution : Dino Dudes	1993	Puzzle	Imagitec Design	1
Fever Pitch Soccer (World) (En,Fr,De,Es,It)	Fever Pitch Soccer	1995	Sports / Football (Soccer)/Sports	Distinctive Developments	1-2
Fight for Life (USA, Europe)	Fight for Life	1996	Fighting	Atari	1-2
Flashback - The Quest for Identity (World) (En,Fr)	Flashback : The Quest for Identity	1995	Platform	Tiertex	1
Flip Out! (World)	Flip Out!	1995	Puzzle	Gorilla	1
Hover Strike (World)	Hover Strike	1995	Shoot'em Up	Atari	1-2
I-War (USA, Europe)	I-War	1995	Shooter	Imagitec Design	1-2
International Sensible Soccer (World)	Sensible Soccer : International Edition	1995	Sports / Football (Soccer)/Sports	Renegade Software	1-2
Iron Soldier (World)	Iron Soldier	1994	Shooter	Eclipse Software Design	1
Jack Nicklaus Cyber Golf (USA) (v0.02) (Proto) (1994-07-04)	Jack Nicklaus Cyber Golf	1994	Sports / Golf/Sports	Hand Made Software	1
Kasumi Ninja (World)	Kasumi Ninja	1994	Fighting/Beat'em Up	Hand Made Software	1-2
Missile Command 3D (World)	Missile Command 3D	1995	Shooter / Missile Command Like/Shooter	Virtuality Entertainment	1
NBA Jam - Tournament Edition (USA, Europe)	NBA Jam Tournament Edition	1996	Sports / Basketball/Sports	High Voltage	1-4
Pinball Fantasies (World)	Pinball Fantasies	1995	Pinball	Spidersoft	1-8
Pitfall - The Mayan Adventure (USA, Europe)	Pitfall : The Mayan Adventure	1995	Platform/Platform / Run & Jump	Imagitec Design	1
Plucky Duck in Hollywood Hijinks (USA) (Proto) (1994-10-28)	Plucky Duck in Hollywood Hijinks	1994		Digital Delirium	1
Power Drive Rally (World)	Power Drive Rally	1995	Racing, Driving	Rage Software	1-2
Raiden (World)	Raiden	1993	Shoot'em Up / Vertical/Shoot'em Up	Imagitec Design	1-2
Rayman (World)	Rayman	1995	Platform	Ubisoft	1
Ruiner Pinball (USA, Europe)	Ruiner Pinball	1995	Pinball	High Voltage	1-4
SkyCopter II (USA) (Proto)	Sky Copter II		Simulation / Vehicle/Simulation	L4 Software	
Super Burnout (World)	Super Burnout	1995	Racing, Driving	Shen Technologies SARL	1-2
Supercross 3D (USA, Europe)	SuperCross 3D	1995	Racing, Driving	Tiertex	1
Syndicate (World)	Syndicate	1995	Strategy	Bullfrog	1
Tempest 2000 (World)	Tempest 2000	1994	Shoot'em Up	Llamasoft	1-2
Thea Realm Fighters (USA) (Proto 2)	Thea Realm Fighters		Fighting	High Voltage	1-2
Theme Park (World)	Theme Park	1995	Build And Management/Simulation	Bullfrog	1
Tiny Toon Adventures (USA) (Proto)	Tiny Toon Adventures		Platform	Digital Delirium	1
Total Carnage (USA) (Beta)	Total Carnage	2005	Shooter / Run and Gun/Shooter	Midway	1
Towers II - Plight of the Stargazer (USA, Europe)	Towers II : Plight of the Stargazer	1996	Role Playing Game	JV Games	1
Trevor McFur in the Crescent Galaxy (World)	Trevor McFur in the Crescent Galaxy	1993	Shoot'em Up / Horizontal/Shoot'em Up	Atari	1
Troy Aikman NFL Football (World)	Troy Aikman NFL Football	1995	Sports / Football (American)/Sports	Telegames	1-2
Ultimate Brain Games (USA) (Proto)	Ultimate Brain Games				
Ultra Vortek (World)	Ultra Vortek	1995	Fighting	Beyond Games	1-2
Val d'Isere Skiing and Snowboarding (World)	Val d'Isère Skiing and Snowboarding	1994	Sports / Skiing/Sports	Virtual Studio	1-2
Virtual VCS (USA) (Proto)	Virtual VCS		Compilation	Temporary Sanity Designs	1-2
White Men Can't Jump (USA, Europe)	White Men Can't Jump	1995	Sports / Basketball/Sports	High Voltage	1-4
Wolfenstein 3D (World)	Wolfenstein 3D	1994	Shooter / FPV/Shooter	id Software	1
Zero 5 (USA) (Beta)	Zero 5	1997	Shoot'em Up	Caspian Software	1-2
Zool 2 (World)	Zool 2	1994	Platform	Imagitec Design	1-2
Zoop (USA, Europe)	Zoop!	1996	Puzzle	Electric Spectacle Productions	1
