#name	crc	size	key
Aircars (USA) (Beta) (1994-11-14)	53e35744	2097152	Aircars (USA) (Beta) (1994-11-14)
Alien vs Predator (World)	dc187f82	4194304	Alien vs Predator (World)
Alien vs Predator (World) (Beta) (1993-08-18)	3153d470	2097152	Alien vs Predator (World)
Alien vs Predator (World) (Beta) (1993-10-13)	b4e7bc59	1048576	Alien vs Predator (World)
Alien vs Predator (World) (v0.93) (Beta) (1994-04-08)	e65da590	2097152	Alien vs Predator (World)
Atari Karts (World)	e28756de	4194304	Atari Karts (World)
Atari Karts (World) (Beta)	52c996e0	4194304	Atari Karts (World)
Attack of the Mutant Penguins (World)	cd5bf827	2097152	Attack of the Mutant Penguins (World)
Barkley Shut Up and Jam (USA) (Beta)	3a3b1fd2	2097152	Barkley Shut Up and Jam (USA) (Beta)
Breakout 2000 (USA, Europe)	b5604d40	2097152	Breakout 2000 (USA, Europe)
Breakout 2000 (USA, Europe) (Beta)	20dbff9f	2097152	Breakout 2000 (USA, Europe)
Brutal Sports Football (World)	bcb1a4bf	2097152	Brutal Sports Football (World)
Bubsy in Fractured Furry Tales (World)	2e17d5da	2097152	Bubsy in Fractured Furry Tales (World)
Burn Out (World) (Demo 1)	701e7bbe	1048576	Super Burnout (World)
Burn Out (World) (Demo 2) (WCES 1995)	0f698fb3	2097152	Super Burnout (World)
Cannon Fodder (World)	bda405c6	2097152	Cannon Fodder (World)
Checkered Flag (World)	fa7775ae	2097152	Checkered Flag (World)
Checkered Flag (World) (Beta) (CES 1993)	ce94c0d5	1048576	Checkered Flag (World)
Club Drive (World)	eee8d61d	2097152	Club Drive (World)
Club Drive (World) (Beta)	0e320385	524288	Club Drive (World)
Cybermorph (World) (Beta) (1993-08-23)	9eb389f9	1048576	Cybermorph (World) (Rev B)
Cybermorph (World) (Rev A)	bde67498	2097152	Cybermorph (World) (Rev B)
Cybermorph (World) (Rev B)	ecf854e7	1048576	Cybermorph (World) (Rev B)
Defender 2000 (World)	27594c6a	4194304	Defender 2000 (World)
Defender 2000 (World) (Beta)	952d07f0	4194304	Defender 2000 (World)
Doom (World)	5e2cdbc0	4194304	Doom (World)
Double Dragon V - The Shadow Falls (World)	348e6449	2097152	Double Dragon V - The Shadow Falls (World)
Dragon - The Bruce Lee Story (World)	8fea5ab0	2097152	Dragon - The Bruce Lee Story (World)
Dragon - The Bruce Lee Story (World) (Beta) (1994-09-26)	a14f94ab	2097152	Dragon - The Bruce Lee Story (World)
Dragon - The Bruce Lee Story (World) (Beta) (1994-10-06)	83c6acc0	2097152	Dragon - The Bruce Lee Story (World)
Evolution - Dino Dudes (World)	0ec5369d	2097152	Evolution - Dino Dudes (World)
Fever Pitch Soccer (World) (En,Fr,De,Es,It)	3615af6a	2097152	Fever Pitch Soccer (World) (En,Fr,De,Es,It)
Fight for Life (USA, Europe)	b14c4753	4194304	Fight for Life (USA, Europe)
Fight for Life (USA, Europe) (Beta) (1995-03-22)	59458199	4194304	Fight for Life (USA, Europe)
Fight for Life (USA, Europe) (Beta) (1995-09-07)	036a25e6	4194304	Fight for Life (USA, Europe)
Flashback - The Quest for Identity (World) (En,Fr)	de55dcc7	2097152	Flashback - The Quest for Identity (World) (En,Fr)
Flip Out! (World)	892bc67c	2097152	Flip Out! (World)
Hover Strike (World)	4899628f	2097152	Hover Strike (World)
I-War (USA, Europe)	97eb4651	2097152	I-War (USA, Europe)
I-War (USA, Europe) (Beta) (1995-10-20)	5bffa5ac	2097152	I-War (USA, Europe)
International Sensible Soccer (World)	5a101212	2097152	International Sensible Soccer (World)
Iron Soldier (World)	08f15576	2097152	Iron Soldier (World)
