#key	style	ss_system_id
Aircars (USA) (Beta) (1994-11-14)	mixrbv2	27
Alien vs Predator (World)	mixrbv2	27
Atari Karts (World)	mixrbv2	27
Attack of the Mutant Penguins (World)	mixrbv2	27
Barkley Shut Up and Jam (USA) (Beta)	mixrbv2	27
Breakout 2000 (USA, Europe)	mixrbv2	27
Brutal Sports Football (World)	mixrbv2	27
Bubsy in Fractured Furry Tales (World)	mixrbv2	27
Cannon Fodder (World)	mixrbv2	27
Checkered Flag (World)	mixrbv2	27
Club Drive (World)	mixrbv2	27
Cybermorph (World) (Rev B)	mixrbv2	27
Defender 2000 (World)	mixrbv2	27
Doom (World)	mixrbv2	27
Double Dragon V - The Shadow Falls (World)	mixrbv2	27
Dragon - The Bruce Lee Story (World)	mixrbv2	27
Evolution - Dino Dudes (World)	mixrbv2	27
Fever Pitch Soccer (World) (En,Fr,De,Es,It)	mixrbv2	27
Fight for Life (USA, Europe)	mixrbv2	27
Flashback - The Quest for Identity (World) (En,Fr)	mixrbv2	27
Flip Out! (World)	mixrbv2	27
Hover Strike (World)	mixrbv2	27
I-War (USA, Europe)	mixrbv2	27
International Sensible Soccer (World)	mixrbv2	27
Iron Soldier (World)	mixrbv2	27
Jack Nicklaus Cyber Golf (USA) (v0.02) (Proto) (1994-07-04)	mixrbv2	27
Kasumi Ninja (World)	mixrbv2	27
Missile Command 3D (World)	mixrbv2	27
NBA Jam - Tournament Edition (USA, Europe)	mixrbv2	27
Pinball Fantasies (World)	mixrbv2	27
Pitfall - The Mayan Adventure (USA, Europe)	mixrbv2	27
Plucky Duck in Hollywood Hijinks (USA) (Proto) (1994-10-28)	mixrbv2	27
Power Drive Rally (World)	mixrbv2	27
Raiden (World)	mixrbv2	27
Rayman (World)	mixrbv2	27
Ruiner Pinball (USA, Europe)	mixrbv2	27
SkyCopter II (USA) (Proto)	mixrbv2	27
Super Burnout (World)	mixrbv2	27
Supercross 3D (USA, Europe)	mixrbv2	27
Syndicate (World)	mixrbv2	27
Tempest 2000 (World)	mixrbv2	27
Thea Realm Fighters (USA) (Proto 2)	mixrbv2	27
Theme Park (World)	mixrbv2	27
Tiny Toon Adventures (USA) (Proto)	mixrbv2	27
Total Carnage (USA) (Beta)	mixrbv2	27
Towers II - Plight of the Stargazer (USA, Europe)	mixrbv2	27
Trevor McFur in the Crescent Galaxy (World)	mixrbv2	27
Troy Aikman NFL Football (World)	mixrbv2	27
Ultra Vortek (World)	mixrbv2	27
Val d'Isere Skiing and Snowboarding (World)	mixrbv2	27
Virtual VCS (USA) (Proto)	mixrbv2	27
White Men Can't Jump (USA, Europe)	mixrbv2	27
Wolfenstein 3D (World)	mixrbv2	27
Zero 5 (USA) (Beta)	mixrbv2	27
Zool 2 (World)	mixrbv2	27
Zoop (USA, Europe)	mixrbv2	27
