#key	synopsis
Aircars (USA) (Beta) (1994-11-14)	AirCars takes place in the future after a nuclear holocaust. The large organization E.B.N.E.R.S. is plotting to take over the world and has developed advanced forcefield and teleportation systems, and nuclear powered AirCars. To stop the plot, your group steals plans, builds its own AirCar, and sets out to destroy all of the bases, 28 known and countless unknown ones, stationed around the globe. You can choose to play a single player game, the 2-player game using a JagLink, or up to 8 players using ICD's CatBoxes. On screen and on radar, each player's AirCar is displayed in a different color to help identify the good guys from the bad guys. There are 3 difficulty settings. You will be using the cockpit's instrument panel to fly the AirCar, select weapons and view radar, as well as combating the enemy in the air and shooting ground targets. Features include true 3D sound, a computer voice (which can be turned off if desired), and music during the introduction and level intermissions.
Alien vs Predator (World)	Aliens versus Predator is a first-person shooter on Jaguar. It offers to play as a Marine, an Alien or a Predator, each race having its own strengths and weaknesses. The three campaigns take place on a space colony of marines beset by aliens, and on which a Predator ship has discreetly landed to try to kill the alien queen!
Atari Karts (World)	Atari Karts is a character-based go-kart racing game. It plays very similarly to Super Mario Kart. The emphasis in this game, like most kart games, is on making use of pick-up items found around the track to knock out your opponents. There is only one game mode, a points based cup series. There are four difficulty levels, each with 3 cups to race for. After completing all the cups for a difficulty level, you get to challenge a &quot;boss&quot; kart in a single race match. If you beat the boss, he becomes a playable character. The various cup races can be played in either single player or two player split screen modes.
Attack of the Mutant Penguins (World)	In the distant galaxy of Bleurggh, an evil (but reasonably stupid) band of aliens picked up some of Earth's television signals. Unfortunately for them, they could only tune in a wildlife program. They figured the Earth would be a pushover to invade, so they disguised themselves as its inhabitants -- penguins! Word of the invasion has reached those champions of intergalactic do-goodery, Bernard and Rodney. Now, with their help, you must prevent the alien mutant penguins from triggering the Doomscale and destroying the Earth. Are you up to the challenge?
Barkley Shut Up and Jam (USA) (Beta)	In the game you play street basketball two-on-two with your friends on with computer. So there are no referees, no fouls, and no shot clock, but the teams called by the names of cities such as Phoenix or Chicago. You can choose your player from 16 available players, including Barkley himself.
Breakout 2000 (USA, Europe)	Breakout 2000 is the Jaguar update to Atari's classic arcade game, Breakout. The premise in Breakout is to bounce a ball off a paddle into a series of blocks that disappear when struck. While the original Breakout, which is included with this release, has simple rectangles that represent the ball and paddle, Breakout 2000 has flashy pre-rendered 3D graphics. There are also a couple of gameplay enhancements over basic Breakout. First, the game can be played with two players. The second player has their own playfield at the top of the screen. They also have their own set of blocks to demolish, and can send their ball to the bottom playfield for the other player to hit. You can set either player to be computer controlled, so you can even watch the computer play against itself if you want. The other enhancement are the various power-ups that allow you to shoot the blocks out directly, catch the ball, and so on.
Brutal Sports Football (World)	Similar to Speedball 2 in many ways, this is an ultra-violent sports game. Matches last 7 minutes, and the aim is to get the ball into a goal at each end, guarded by a net-minder. The ball can be thrown or kicked, and is an oval, resulting in frequent up-and-under type kicks. The gameplay is fast and flowing, and has one rule - if you can't get the ball, get the man, and decapitate him if possible. Bonus and non-bonus items appear on the pitch, such as bombs to throw at opponents, rabbits to speed up the current player, or tortoises to slow him down. Teams consist of humans and aliens, many of which have their own unique skills. There's a lot of blood and flailing limbs, giving things a gruesomely humorous edge. There are four leagues to progress through, plus a knockout cup and single matches.
Bubsy in Fractured Furry Tales (World)	Only Bubsy can protect the world's kids from these silly stories and tangled-up tales as he leaps and bounds his way through 15 frantic chapters of fabulous furry fun. In Fairytaleland, Bubsy attends a twisted tea party, climbs a giant beanstalk, voyages under the sea (without getting his paws wet), head to Ali Baba's desert and even meets Hansel and Gretel, who should be up on kidnapping charges.
Cannon Fodder (World)	Guide a team of up to four soldiers through 72 levels of combat in this innovative top-down action/strategy hybrid, best thought of as Lemmings crossed with Commando crossed with Dune 2. The characters are controlled indirectly using the mouse, as you activate each soldier or group of them by highlighting them, click the left button to move them to a particular spot, and the right button for them to fire guns at an enemy. You can also pick up grenades, which can be used to destroy groups of enemies or buildings (by pressing both buttons at once). Each mission has a specific objective, and some feature vehicles such as tanks to make things easier. Your troops can cross water but can't shoot within it, so finding and controlling bridges is often crucial. You can use the arrangement of trees to find hiding places to shoot from, and should watch out for CPU soldiers also doing so.
Checkered Flag (World)	Checkered Flag for the Jaguar is a 3D F1-style racing game. The racing game staples are here: single race, practice, and tournament. You can choose to set up a variety of options for each race, also. You can choose various weather conditions. Or, you can set up your car to change it's handling characteristics. There are 10 different tracks on which to race, each with a different theme. Some take place on sunny beaches, others take place in the arctic.
Club Drive (World)	It is the future, and the most popular theme park around is Club Drive. Scientists have managed to invent indestructible cars. Patrons to Club Drive can drive these cars around imaginative environments and play outrageous driving games. Club Drive as a Jaguar game is a simple driving simulator. You are put in the drivers seat, and can race through some large environments. The racing areas available are: an old west ghost town, San Francisco, a giant house, and a simple hot-wheels style track. In addition to the racing modes, there are object collection and 2-player tag modes. These modes are played out in smaller versions of the areas described above.
Cybermorph (World) (Rev B)	Cybermorph was the first game released for Atari's Jaguar console. It's a 3d sci-fi shoot-'em-up. The story goes like this: The evil Pernitia Empire is swallowing up the galaxy's planets left and right. What's worse, the resistance forces have had their secret weapons stolen from them and put into pods spread out on many different planets. You must pilot the T-Griffon morphing attack craft to each planet and recover the pods to stop the Pernitians. So, in each planet, or level, you must collect a certain number of pods and make it to the exit before the enemies shoot you down. Fortunately, there are power-ups that can strategically enhance the T-Griffon's offensive capabilities. After clearing 8 planets, you take on a boss creature/ship before moving on to the next sector. There are 4 levels like this to clear, each with progressively increasing difficulty.
Defender 2000 (World)	Defender 2000 is an update of the classic arcade game by Eugene Jarvis. This Jaguar game features a port of the original game, and two updated versions: Defender Plus and Defender 2000. Defender combines a side scrolling shooter with a search and rescue game. You control a ship that travels left and right above the planets surface. Alien lander craft warp into the play area, and begin to descend to the surface. Along the surface, there are humanoids ripe for the picking. The alien landers grab the humanoids and begin to carry them up the screen. You have to shoot the landers before they reach the top of the screen, and catch the humanoids before they fall to the surface. The Defender Plus update features gameplay that is very similar to the original, and graphics that have a crazy, psychedelic look. The Defender 2000 update adds playfields that scroll in both directions, weapon power-ups, bonus rounds, improved graphics, and extremely high speed gameplay.
Doom (World)	The Union Aerospace Corporation has been experimenting with teleportation technology on Mars' moons Phobos and Deimos. After early successes, something goes wrong. It seems the scientists have opened a gateway straight to Hell. Phobos base is overrun with demonic creatures, and the whole of Deimos simply vanishes. A squad of marines is sent to Phobos, but all except one are quickly slaughtered. It falls to the surviving marine to grab some guns and strike back at the demons.
Double Dragon V - The Shadow Falls (World)	Double Dragon V: The Shadow Falls is a sequel to Double Dragon series. Unlike the previous games, which were side-scrolling fighting action games or beat-em-ups, Shadow Falls is a head-to-head fighting game based on the animated Double Dragon TV series in the style of Capcom's 1991 arcade-hit Street Fighter II.
Dragon - The Bruce Lee Story (World)	Dragon: The Bruce Lee Story is a fighting video game based on the film Dragon: The Bruce Lee Story, which is a semi-fictionalized account of the life of Bruce Lee. You control Lee, and must defeat enemies to progress through the game, recalling major action scenes from the film. You can use a variety of martial arts moves to defeat their enemies and build up a chi meter, which can help unleash special moves on their opponents. The game supports up to three players simultaneously, playing through the game co-operatively, or against each other in a battle mode.
Evolution - Dino Dudes (World)	The gameplay of The Humans has similarities to Lode Runner and Lemmings. Your job in this action puzzler is to help prehistoric man to evolve by helping them discover tools, the wheel, weapons, or even fire. Each level in the game will have a given task to help in this, and you are allotted a number of characters who must accomplish the task. The player can switch from person to person while moving the characters around each scrolling puzzle, and teamwork is essential to success.
