#key	synopsis
Aircars (USA) (Beta) (1994-11-14)	AirCars tiene lugar en el futuro después de un holocausto nuclear. La gran organización E.B.N.E.R.S. está planeando hacerse con el control del mundo y ha desarrollado sistemas avanzados de campo de fuerza y ??teletransporte, y AirCars de energía nuclear. Para detener la trama, su grupo roba planes, construye su propio AirCar y se dispone a destruir todas las bases, 28 conocidas e innumerables desconocidas, estacionadas en todo el mundo. Puedes elegir jugar un juego para un solo jugador, el juego para 2 jugadores usando un JagLink o hasta 8 jugadores usando los CatBoxes del ICD. En la pantalla y en el radar, AirCar de cada jugador se muestra en un color diferente para ayudar a identificar a los buenos muchachos de los malos. Hay 3 configuraciones de dificultad. Utilizará el panel de instrumentos de la cabina para volar el AirCar, seleccionar armas y ver el radar, así como combatir al enemigo en el aire y disparar objetivos en tierra. Las características incluyen verdadero sonido 3D, una voz de computadora (que se puede apagar si se desea) y música durante la presentación y el nivel intermedio.
Alien vs Predator (World)	La versión Jaguar de Alien vs. Predator ofrece una experiencia única en una base Colonial Marine infestada de Aliens. Tres escenarios te permiten jugar como Marine, Alien o Predator, cada uno con objetivos distintos: destruir la base y escapar, proteger a la Reina, o cazarla para ganar honor. Este shooter en primera persona se desarrolla en un vasto entorno virtual interconectado que incluye 5 niveles de la base y áreas de las naves Predator y Alien. Cada personaje requiere estrategias únicas: el Marine usa armas y terminales, los Aliens aprovechan su número y trampas, mientras que el Predator combina honor y sigilo. La jugabilidad diversa y los entornos detallados hacen de esta entrega una experiencia inmersiva y desafiante.
Atari Karts (World)	Atari Karts es un juego de carreras de karts basado en personajes. Juega de manera muy similar a Super Mario Kart. El énfasis en este juego, como la mayoría de los juegos de kart, está en hacer uso de objetos de recogida que se encuentran alrededor de la pista para noquear a tus oponentes. Solo hay un modo de juego, una serie de copas basadas en puntos. Hay cuatro niveles de dificultad, cada uno con 3 copas para correr. Después de completar todas las copas para un nivel de dificultad, puedes desafiar a un kart de &quot;jefe&quot; en un solo partido de carrera. Si vences al jefe, se convierte en un personaje jugable. Las diferentes carreras de copas se pueden jugar en modos de pantalla dividida para un solo jugador o para dos jugadores.
Attack of the Mutant Penguins (World)	En la galaxia distante de Bleurggh, una banda de alienígenas malvada (pero razonablemente estúpida) recogió algunas de las señales de televisión de la Tierra. Desafortunadamente para ellos, solo podían sintonizar un programa de vida silvestre. Pensaban que la Tierra sería un obstáculo para invadir, por lo que se disfrazaron de habitantes: ¡pingüinos! La noticia de la invasión ha llegado a los campeones de la Gooderga intergaláctica, Bernard y Rodney. Ahora, con su ayuda, debes evitar que los pingüinos mutantes alienígenas desencadenen la Escama del Destino y destruyan la Tierra. ¿Estás preparado para el desafío?
Barkley Shut Up and Jam (USA) (Beta)	Barkley Shut Up and Jam! es un videojuego de baloncesto que presenta una jugabilidad similar a la de NBA Jam de Midway, pero siguiendo de cerca las reglas del baloncesto callejero. Los jugadores compiten contra oponentes controlados por la CPU o contra otros jugadores en partidos que tienen lugar en varias ciudades de Estados Unidos.
Breakout 2000 (USA, Europe)	Breakout 2000 es la versión actualizada para Jaguar del clásico arcade de Atari, Breakout. El objetivo sigue siendo rebotar una pelota con una paleta para destruir bloques. Mientras que el juego original, incluido en esta edición, tiene gráficos simples, Breakout 2000 presenta gráficos 3D pre-renderizados. Este título incluye mejoras en la jugabilidad. Se puede jugar con dos jugadores, cada uno con su propio campo y bloques para destruir. Incluso es posible enviar la pelota al campo contrario. Además, puedes asignar control al ordenador y observar una partida automática. También hay potenciadores que permiten disparar bloques, atrapar la pelota y más.
Brutal Sports Football (World)	Similar a Speedball 2 en muchos sentidos, este es un juego deportivo ultra violento. Los partidos duran 7 minutos, y el objetivo es llevar la pelota a un gol en cada extremo, custodiado por un portero de red. La pelota puede ser lanzada o pateada, y es un óvalo, lo que resulta en frecuentes patadas tipo arriba y abajo. La jugabilidad es rápida y fluida, y tiene una regla: si no puedes conseguir la pelota, atrapa al hombre y decapita si es posible. En el campo aparecen objetos con bonificación y sin bonificación, como bombas para lanzar a los oponentes, conejos para acelerar al jugador actual o tortugas para retrasarlo. Los equipos consisten en humanos y alienígenas, muchos de los cuales tienen sus propias habilidades únicas. Hay mucha sangre y extremidades agitadas, dando a las cosas un toque horriblemente humorístico. Hay cuatro ligas para avanzar, más una copa eliminatoria y partidos individuales.
Bubsy in Fractured Furry Tales (World)	Solo Bubsy puede proteger a los niños del mundo de estas historias tontas y cuentos enredados mientras salta y se abre camino a través de 15 frenéticos capítulos de fabulosa diversión peluda. En Fairytaleland, Bubsy asiste a una fiesta de té retorcida, trepa a un frijol gigante, viaja bajo el mar (sin mojarse las patas), se dirige al desierto de Ali Baba e incluso se encuentra con Hansel y Gretel, que deberían estar bajo cargos de secuestro.
Cannon Fodder (World)	Dirige un equipo de hasta cuatro soldados en 72 niveles de combate en este híbrido de estrategia y acción, una mezcla de Lemmings, Comando y Dune 2. Controlas a los personajes con el mouse, seleccionando soldados o grupos, moviéndolos con clic izquierdo y disparando con clic derecho. También puedes recoger granadas para destruir enemigos o edificios. Cada misión tiene objetivos específicos y, a veces, vehículos como tanques para apoyarte. Las tropas cruzan agua pero no disparan en ella, lo que hace crucial controlar puentes. Usa los árboles como escondites y enfréntate a soldados de la CPU que harán lo mismo. Este título combina estrategia con acción táctica en un desafío único.
Checkered Flag (World)	Checkered Flag for the Jaguar es un juego de carreras de estilo 3D F1. Los productos básicos del juego de carreras están aquí: carrera individual, práctica y torneo. Puede elegir configurar una variedad de opciones para cada carrera, también. Puedes elegir varias condiciones climáticas. O bien, puede configurar su automóvil para cambiar sus características de manejo. Hay 10 pistas diferentes en las que competir, cada una con un tema diferente. Algunos tienen lugar en playas soleadas, otros tienen lugar en el ártico.
