#key	synopsis
Aircars (USA) (Beta) (1994-11-14)	AirCars est un jeu d'action sur Jaguar. Le jeu se déroule dans le futur après une guerre nucléaire. La société E.B.N.E.R.S. est à la pointe de la technologie nucléaire et tente de conquérir le monde avec ses AirCars, voitures à énergie nucléaire. Vous incarnez un résistant et volez un de ces véhicules pour livrer bataille contre l'oppresseur. Jouable à 2 avec le JagLink, ce jeu peut aussi se jouer jusqu'à 8 joueurs grâce à la Catbox.
Alien vs Predator (World)	Aliens versus Predator est un jeu de tir à la première personne sur Jaguar. Il propose d'incarner un Marine, un Alien ou un Predator, chaque race ayant ses points faibles et ses points forts. Les trois campagnes se déroulent sur une colonie spatiale des marines assaillie par des aliens, et sur laquelle un vaisseau Predator s'est discrètement posé pour tenter de tuer la reine des aliens !
Atari Karts (World)	Atari Karts sur Jaguar est un jeu de courses vous permettant d'incarner des pilotes tous plus farfelus les uns que les autres au volant de karts survitaminés ! Le jeu possède 4 modes de difficulté ayant chacun 3 coupes respectives. Quand vous remportez les trois coupes d'un même mode de difficulté, vous faites une course face à un boss. Si vous remportez la victoire, ce dernier sera alors jouable !
Attack of the Mutant Penguins (World)	Attack of the Mutant Penguins sur Jaguar est un jeu d'action vous permettant d'incarner au choix deux personnages qui partent au secours des gentils pingouins. Pour accomplir votre mission, vous devez faire en sorte que l'équipe des bons pingouins soit plus forte que celle des pingouins mutants ! Le jeu comporte également des mini-jeux qui nous permettent d'incarner nos bons pingouins dans leur mission de destruction de la race mutante !
Barkley Shut Up and Jam (USA) (Beta)	Dans ce jeu, vous jouez au basket de rue en deux contre deux avec vos amis ou contre l'ordinateur. Il n'y a donc ni arbitre, ni faute, ni chronomètre de tir, mais les équipes portent les noms de villes telles que Phoenix ou Chicago. Vous pouvez choisir votre joueur parmi les 16 disponibles, dont Barkley lui-même.
Breakout 2000 (USA, Europe)	Breakout 2000 sur Jaguar est un casse briques en 3D où l'objectif est de faire rebondir une balle sur une palette afin de détruire brique après brique les murs qui l'entourent. Certains murs résistent plus que d'autres mais de nombreux bonus sont disponibles pour faciliter la tâche.
Brutal Sports Football (World)	Brutal Sports Football sur Jaguar est un jeu de sport ultra-violent où tous les coups sont permis pour faire entrer la balle dans le but adverse. Les équipes se composent de joueurs humains et aliens, chacun ayant leurs propres compétences. De nombreux bonus apparaissent à l'écran tels que des bombes à jeter sur les adversaires et des lapins pouvant les ralentir.
Bubsy in Fractured Furry Tales (World)	Bubsy in : Fractured Furry Tales sur Jaguar est un jeu de plates-formes où le joueur incarne Bubsy, un lynx roux capable de se déplacer très rapidement.
Cannon Fodder (World)	Guidez une équipe de six soldats au maximum à travers de nombreuses zones de combat dans ce jeu d'action/stratégie de haut en bas. Vous sélectionnez un soldat ou un groupe puis vous cliquez sur un bouton pour les déplacer à un endroit particulier et sur un autre pour qu'ils tirent sur un ennemi. Vous pouvez également ramasser des grenades ou des roquettes qui peuvent être utilisées pour détruire des groupes d'ennemis, des bâtiments ou certains véhicules. Chaque mission a un objectif spécifique, et certaines comportent des véhicules tels que des chars d'assaut. Vos troupes peuvent traverser l'eau mais ne peuvent pas tirer à l'intérieur, c'est pourquoi il est souvent crucial de trouver et de contrôler les ponts. Vous pouvez utiliser la disposition des arbres afin de trouver des cachettes pour tirer mais faites attention aux soldats ennemis qui font de même.
Checkered Flag (World)	Checkered Flag est un jeu de courses sur Jaguar dans lequel vous prenez les commandes d'une Formule 1. Vous devez battre vos adversaires sur 10 circuits différents et sous plusieurs conditions climatiques.
