#key	synopsis
Aircars (USA) (Beta) (1994-11-14)	AirCars acontece no futuro depois de um holocausto nuclear. A grande organização E.B.N.E.R.S. Ele está planejando assumir o controle do mundo e desenvolveu sistemas avançados de campo de força e teletransporte e AirCars para energia nuclear. Para parar o enredo, seu grupo rouba planos, constrói seu próprio AirCar e se prepara para destruir todas as bases, conhecidas e incontáveis ??desconhecidas, espalhadas pelo mundo. Você pode optar por jogar um único jogador, o jogo de 2 jogadores usando um JagLink ou até 8 jogadores usando o ICD CatBoxes. Na tela e no radar, o AirCar de cada jogador é mostrado em uma cor diferente para ajudar a identificar os mocinhos dos bandidos. Existem 3 configurações de dificuldade. Você usará o painel de instrumentos do cockpit para pilotar o AirCar, selecionar armas e observar o radar, assim como lutar contra o inimigo no ar e atirar em alvos no solo. Os recursos incluem som 3D real, uma voz de computador (que pode ser desligada se desejado) e música durante a apresentação e o nível intermediário.
Alien vs Predator (World)	para a versão Jaguar de Alien vs. O Predator é completamente diferente dos jogos Arcade e SNES de mesmo nome. A versão do Jaguar é totalmente desenvolvida em uma base de treinamento da Colonial Marine. Um navio infestado de alienígenas está flutuando perto da instalação de treinamento do espaço sideral. Claro, uma vez que os alienígenas entram na base, eles matam quase todo mundo. Enquanto isso, os Predators atracam seu navio na base de treinamento também. Eles vêem isso como uma oportunidade para pegar uma Rainha Alienígena e trazer honra ao seu clã. Então, existem três cenários para jogar: Primeiro, você pode jogar como um fuzileiro naval. Seu trabalho é encontrar uma maneira de se autodestruir a base e ir para uma cápsula de escape antes que ela exploda. O segundo cenário permite que você jogue como um alienígena. Aqui, seu trabalho é encontrar e proteger a Rainha dos Marines e Predators. Finalmente, você pode jogar como o Predator. O Predador deve simplesmente encontrar e matar a Rainha Alienígena. O jogo é jogado como um atirador em primeira pessoa. O campo de jogo consiste nos 5 níveis da base de treinamento, além de áreas para a espaçonave Predator e Alien. Todas as áreas do navio estão interconectadas, dando ao jogo um enorme ambiente virtual. Dependendo do cenário escolhido, você terá que escolher estratégias diferentes com base nas habilidades de seu personagem. Por exemplo, o fuzileiro naval terá que fazer uso de suas armas e sua capacidade de usar terminais de computador do navio. Os alienígenas, por outro lado, terão que usar sua grande quantidade e capacidade de capturar seus inimigos. E finalmente, o Predador deve lutar com honra e não abusar de sua invisibilidade.
Atari Karts (World)	Atari Karts é um jogo de corridas de kart baseado em personagens. Jogue de forma muito semelhante ao Super Mario Kart. A ênfase neste jogo, como a maioria dos jogos de kart, é fazer uso de objetos de coleção que estão ao redor da pista para derrubar seus oponentes. Existe apenas um modo de jogo, uma série de copos baseados em pontos. Existem quatro níveis de dificuldade, cada um com 3 xícaras para rodar. Depois de completar todas as taças para um nível de dificuldade, você pode desafiar um kart &quot;chefe&quot; em um único jogo de corrida. Se você vencer o chefe, ele se torna um personagem jogável. Corridas de copa diferentes podem ser jogadas em modos de tela dividida para um jogador ou para dois jogadores.
Attack of the Mutant Penguins (World)	Na distante galáxia Bleurggh, uma banda maligna (mas razoavelmente estúpida) de alienígenas captou alguns dos sinais de televisão da Terra. Infelizmente para eles, eles só puderam entrar em sintonia com um programa de vida selvagem. Pensaram que a Terra seria um obstáculo a invadir, pelo que se disfarçaram de habitantes: pinguins! A notícia da invasão chegou aos campeões intergalácticos da Gooderga, Bernard e Rodney. Agora, com a sua ajuda, você deve impedir que pinguins mutantes alienados desencadeiem a Escala de Destino e destruam a Terra. Você está pronto para o desafio?nn
Barkley Shut Up and Jam (USA) (Beta)	Barkley Shut Up e Jam! é um jogo de basquete com jogabilidade no estilo arcade semelhante ao NBA Jam da Midway, mas seguindo de perto as regras vistas no basquete de rua, os jogadores competem com oponentes controlados pela CPU ou contra outros jogadores em partidas em várias cidades dos Estados Unidos.
Breakout 2000 (USA, Europe)	O Breakout 2000 é a atualização do Jaguar para o clássico jogo de arcade da Atari, o Breakout. A premissa no Breakout é saltar uma bola de uma raquete para uma série de blocos que desaparecem quando atingidos. Enquanto o Breakout original, que está incluído neste lançamento, possui retângulos simples que representam a bola e o remo, o Breakout 2000 tem gráficos 3D pré-renderizados chamativos.
Brutal Sports Football (World)	Similar ao Speedball 2 em muitos aspectos, este é um jogo esportivo ultra violento. Os jogos duram 7 minutos e o objetivo é levar a bola a um gol em cada ponta, guardada por um goleiro da rede. A bola pode ser arremessada ou chutada, e é oval, resultando em chutes frequentes para cima e para baixo. A jogabilidade é rápida e fluida, e tem uma regra: se você não consegue pegar a bola, pegue o homem e decapite se possível. Objetos com bônus e bônus não aparecem no campo, como bombas para atirar em adversários, coelhos para acelerar o jogador atual ou tartarugas para atrasá-lo. As equipes consistem em humanos e alienígenas, muitos dos quais têm suas próprias habilidades únicas. Há muito sangue e membros agitados, dando um toque horrivelmente bem humorado às coisas. Há quatro ligas para avançar, além de uma taça de qualificação e partidas individuais.
Bubsy in Fractured Furry Tales (World)	Apenas Bubsy pode proteger as crianças do mundo dessas histórias bobas e contos emaranhados, enquanto ele pula e faz o seu caminho através de 15 capítulos frenéticos de diversão peludo fabuloso. Em Fairytaleland, Bubsy assiste a uma festa de chá retorcida, sobe um feijão gigante, viaja sob o mar (sem molhar os pés), vai até o deserto de Ali Baba e até conhece Hansel e Gretel, que deveriam estar sob acusação. de sequestro.
Cannon Fodder (World)	Guie uma equipe de até quatro soldados em 72 níveis de combate neste inovador híbrido estratégia / ação, de cima a baixo, mais bem conceituados como lemes cruzados com o Comando Cruzado Dune 2. Os personagens são controlados indiretamente com o mouse, como ative cada soldado ou grupo deles para destacá-los, clique no botão esquerdo para movê-los para um lugar específico, e o botão direito para disparar armas contra um inimigo. Você também pode coletar granadas, que podem ser usadas para destruir grupos de inimigos ou edifícios (pressionando os dois botões ao mesmo tempo). Cada missão tem um objetivo específico e algumas têm veículos como tanques para facilitar as coisas. Suas tropas podem atravessar a água, mas não podem disparar dentro dela, então encontrar e controlar pontes é freqüentemente crucial. Você pode usar o arranjo das árvores para encontrar esconderijos de onde atirar, e você deve ter cuidado com os soldados da CPU que também fazem isso.
Checkered Flag (World)	Bandeira quadriculada para o Jaguar é um jogo de corrida 3D estilo F1. Os produtos básicos do jogo de corrida estão aqui: carreira individual, prática e torneio. Você pode optar por configurar uma variedade de opções para cada corrida também. Você pode escolher várias condições meteorológicas. Ou você pode configurar seu carro para alterar suas características de direção. Existem 10 faixas diferentes para competir, cada uma com um tema diferente. Algumas ocorrem em praias ensolaradas, outras no Ártico.
